Time / sec	Linewidth / MHz
209.111000	0.332599
210.099000	0.297486
211.085000	0.287708
212.072000	0.280020
213.059000	0.264415
214.050000	0.267863
215.042000	0.273226
216.031000	0.300986
217.019000	0.249754
218.007000	0.271756
218.994000	0.293697
219.984000	0.270134
220.973000	0.257465
221.960000	0.282152
222.948000	0.274876
223.937000	0.259308
224.927000	0.277426
225.916000	0.274456
226.902000	0.282177
227.892000	0.273773
228.882000	0.268898
229.871000	0.261758
230.862000	0.277095
231.861000	0.323533
232.849000	0.366170
233.835000	0.323038
234.823000	0.325069
235.812000	0.367885
236.798000	0.432204
237.779000	0.378981
238.765000	0.298890
239.753000	0.288236
240.741000	0.278358
241.731000	0.279074
242.717000	0.251360
243.705000	0.263846
244.695000	0.319797
245.682000	0.293402
246.672000	0.293539
247.661000	0.345023
248.647000	0.333465
249.632000	0.261219
250.619000	0.264482
251.609000	0.270709
252.597000	0.267442
253.584000	0.359317
254.572000	0.393021
255.558000	0.296800
256.545000	0.304807
257.539000	0.307083
258.528000	0.277478
259.517000	0.251954
260.504000	0.271845
261.494000	0.279826
262.483000	0.267494
263.470000	0.259731
264.459000	0.265953
265.449000	0.300046
266.441000	0.256924
267.430000	0.258659
268.418000	0.286456
269.406000	0.296367
270.392000	0.268160
271.381000	0.284973
272.368000	0.259198
273.359000	0.256158
274.349000	0.264347
275.339000	0.285307
276.325000	0.268714
277.382000	0.271633
278.375000	0.273994
279.362000	0.346077
280.348000	0.315392
281.338000	0.263736
282.327000	0.250760
283.315000	0.280988
284.301000	0.293335
285.288000	0.271472
286.276000	0.322355
287.265000	0.354724
288.251000	0.287655
289.239000	0.259606
290.225000	0.270686
291.213000	0.260187
292.202000	0.300332
293.190000	0.358563
294.180000	0.330711
295.166000	0.262186
296.155000	0.264136
297.144000	0.275771
298.133000	0.261613
299.124000	0.305296
300.113000	0.346826
301.098000	0.293045
302.086000	0.261014
303.074000	0.275127
304.062000	0.289760
305.051000	0.297050
306.040000	0.266639
307.028000	0.252599
308.015000	0.270292
309.005000	0.265028
309.994000	0.266631
310.983000	0.324409
311.968000	0.311240
312.959000	0.309987
313.949000	0.274101
314.939000	0.292969
315.930000	0.282781
316.918000	0.283433
317.903000	0.292908
318.894000	0.271246
319.881000	0.255984
320.869000	0.266603
321.857000	0.287398
322.846000	0.259160
323.834000	0.256679
324.824000	0.306808
325.811000	0.351848
326.801000	0.384148
327.785000	0.308041
328.776000	0.323864
329.761000	0.373324
330.763000	0.327867
331.752000	0.251409
332.741000	0.294803
333.726000	0.268257
334.712000	0.281702
335.700000	0.301393
336.691000	0.319173
337.675000	0.310820
338.664000	0.270692
339.651000	0.306415
340.638000	0.316611
341.623000	0.266358
342.611000	0.302348
343.596000	0.307576
344.587000	0.271055
345.574000	0.297651
346.562000	0.336373
347.552000	0.306758
348.541000	0.259041
349.538000	0.261179
350.526000	0.267260
351.515000	0.278523
352.503000	0.270998
353.492000	0.255195
354.479000	0.248291
355.468000	0.255100
