x-axis,1,2,3
second,Volt,Volt,Volt
-250.0000E-06,-32.4497577E-03,-1.0414571E-03,-378.1407E-06
-249.7500E-06,-32.4497577E-03,-1.4434671E-03,+224.8744E-06
-249.5000E-06,-32.4497577E-03,+164.5731E-06,-780.1508E-06
-249.2500E-06,-32.4497577E-03,-237.4370E-06,-378.1407E-06
-249.0000E-06,-32.4497577E-03,-1.8454771E-03,-378.1407E-06
-248.7500E-06,-36.4698581E-03,-36.4319E-06,+425.8794E-06
-248.5000E-06,-34.4598079E-03,+164.5731E-06,+23.8693E-06
-248.2500E-06,-32.4497577E-03,-438.4420E-06,-378.1407E-06
-248.0000E-06,-32.4497577E-03,-237.4370E-06,-378.1407E-06
-247.7500E-06,-32.4497577E-03,-840.4520E-06,-177.1357E-06
-247.5000E-06,-32.4497577E-03,-237.4370E-06,-780.1508E-06
-247.2500E-06,-32.4497577E-03,-438.4420E-06,+224.8744E-06
-247.0000E-06,-32.4497577E-03,-1.8454771E-03,-378.1407E-06
-246.7500E-06,-30.4397075E-03,-1.0414571E-03,-378.1407E-06
-246.5000E-06,-30.4397075E-03,-1.0414571E-03,+23.8693E-06
-246.2500E-06,-32.4497577E-03,-1.2424621E-03,-378.1407E-06
-246.0000E-06,-32.4497577E-03,-237.4370E-06,+425.8794E-06
-245.7500E-06,-32.4497577E-03,-840.4520E-06,-378.1407E-06
-245.5000E-06,-32.4497577E-03,-639.4470E-06,+23.8693E-06
-245.2500E-06,-35.4648330E-03,-438.4420E-06,-378.1407E-06
-245.0000E-06,-36.4698581E-03,-237.4370E-06,+425.8794E-06
-244.7500E-06,-33.4547828E-03,-438.4420E-06,-378.1407E-06
-244.5000E-06,-32.4497577E-03,-1.4434671E-03,-378.1407E-06
-244.2500E-06,-33.4547828E-03,-1.0414571E-03,-981.1558E-06
-244.0000E-06,-32.4497577E-03,-1.0414571E-03,+425.8794E-06
-243.7500E-06,-32.4497577E-03,-639.4470E-06,+23.8693E-06
-243.5000E-06,-36.4698581E-03,-639.4470E-06,-378.1407E-06
-243.2500E-06,-35.4648330E-03,-840.4520E-06,-177.1357E-06
-243.0000E-06,-36.4698581E-03,+566.5831E-06,-1.1821608E-03
-242.7500E-06,-33.4547828E-03,-36.4319E-06,-981.1558E-06
-242.5000E-06,-34.4598079E-03,-237.4370E-06,-780.1508E-06
-242.2500E-06,-35.4648330E-03,-237.4370E-06,-981.1558E-06
-242.0000E-06,-32.4497577E-03,-1.8454771E-03,+425.8794E-06
-241.7500E-06,-36.4698581E-03,-840.4520E-06,+224.8744E-06
-241.5000E-06,-34.4598079E-03,-237.4370E-06,+23.8693E-06
-241.2500E-06,-32.4497577E-03,-237.4370E-06,+425.8794E-06
-241.0000E-06,-32.4497577E-03,+566.5831E-06,+425.8794E-06
-240.7500E-06,-32.4497577E-03,-1.6444721E-03,-378.1407E-06
-240.5000E-06,-34.4598079E-03,+164.5731E-06,+23.8693E-06
-240.2500E-06,-32.4497577E-03,-840.4520E-06,+224.8744E-06
-240.0000E-06,-32.4497577E-03,-237.4370E-06,-378.1407E-06
-239.7500E-06,-32.4497577E-03,-840.4520E-06,-177.1357E-06
-239.5000E-06,-34.4598079E-03,-237.4370E-06,+23.8693E-06
-239.2500E-06,-32.4497577E-03,-438.4420E-06,-378.1407E-06
-239.0000E-06,-32.4497577E-03,-237.4370E-06,-1.1821608E-03
-238.7500E-06,-32.4497577E-03,-438.4420E-06,-378.1407E-06
-238.5000E-06,-34.4598079E-03,-237.4370E-06,+23.8693E-06
