x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+0.0E+00,+4.065390E+00,-103.518E-03,-5.226131E+00,-442.211E-03
+8.000E-03,+3.904586E+00,+65.327E-03,+2.010050E+00,-442.211E-03
+16.000E-03,+4.145792E+00,-87.437E-03,-2.010050E+00,-402.010E-03
+24.000E-03,+4.306596E+00,-119.598E-03,-402.010E-03,-422.111E-03
+32.000E-03,+3.904586E+00,-119.598E-03,+2.412060E+00,-402.010E-03
+40.000E-03,+3.984988E+00,+105.528E-03,-1.608040E+00,-402.010E-03
+48.000E-03,+4.145792E+00,-55.276E-03,-804.020E-03,-402.010E-03
+56.000E-03,+4.145792E+00,-103.518E-03,-2.412060E+00,-402.010E-03
+64.000E-03,+4.065390E+00,+25.126E-03,+2.010050E+00,-381.910E-03
+72.000E-03,+4.145792E+00,-71.357E-03,+3.216080E+00,-422.111E-03
+80.000E-03,+4.226194E+00,-87.437E-03,-2.412060E+00,-402.010E-03
+88.000E-03,+4.226194E+00,+113.568E-03,+3.618090E+00,-422.111E-03
+96.000E-03,+4.306596E+00,+17.085E-03,+2.010050E+00,-422.111E-03
+104.000E-03,+4.226194E+00,+25.126E-03,+804.020E-03,-442.211E-03
+112.000E-03,+4.226194E+00,-7.035E-03,-1.206030E+00,-422.111E-03
+120.000E-03,+4.386998E+00,-111.558E-03,-3.216080E+00,-422.111E-03
+128.000E-03,+4.467400E+00,-47.236E-03,-0.0E+00,-402.010E-03
+136.000E-03,+3.743782E+00,-119.598E-03,-1.608040E+00,-341.709E-03
+144.000E-03,+4.065390E+00,-167.839E-03,+3.618090E+00,-422.111E-03
+152.000E-03,+4.226194E+00,-23.116E-03,-1.206030E+00,-402.010E-03
+160.000E-03,+4.226194E+00,+17.085E-03,-4.020101E+00,-422.111E-03
+168.000E-03,+4.065390E+00,-87.437E-03,+2.412060E+00,-402.010E-03
+176.000E-03,+4.226194E+00,+113.568E-03,+4.422111E+00,-381.910E-03
+184.000E-03,+4.628204E+00,+65.327E-03,-4.422111E+00,-402.010E-03
+192.000E-03,+4.145792E+00,-151.759E-03,+3.216080E+00,-402.010E-03
+200.000E-03,+4.065390E+00,-103.518E-03,-2.814070E+00,-442.211E-03
+208.000E-03,+3.904586E+00,-23.116E-03,+0.0E+00,-402.010E-03
+216.000E-03,+4.065390E+00,+57.286E-03,+4.824121E+00,-402.010E-03
+224.000E-03,+3.984988E+00,-143.719E-03,+1.206030E+00,-402.010E-03
+232.000E-03,+4.386998E+00,+89.447E-03,+0.0E+00,-422.111E-03
+240.000E-03,+3.904586E+00,+57.286E-03,+402.010E-03,-402.010E-03
+248.000E-03,+4.226194E+00,+41.206E-03,+2.814070E+00,-381.910E-03
+256.000E-03,+4.226194E+00,-95.477E-03,+1.608040E+00,-462.312E-03
+264.000E-03,+4.386998E+00,+105.528E-03,-0.0E+00,-422.111E-03
+272.000E-03,+4.145792E+00,+57.286E-03,-2.010050E+00,-402.010E-03
+280.000E-03,+3.824184E+00,-135.678E-03,-2.412060E+00,-402.010E-03
+288.000E-03,+4.226194E+00,-23.116E-03,+2.412060E+00,-402.010E-03
+296.000E-03,+3.743782E+00,+81.407E-03,-804.020E-03,-442.211E-03
+304.000E-03,+4.065390E+00,-23.116E-03,-0.0E+00,-422.111E-03
+312.000E-03,+4.226194E+00,-175.879E-03,-2.814070E+00,-402.010E-03
+320.000E-03,+3.743782E+00,+89.447E-03,-3.216080E+00,-442.211E-03
+328.000E-03,+4.306596E+00,-39.196E-03,-2.814070E+00,-402.010E-03
+336.000E-03,+4.065390E+00,-135.678E-03,-2.814070E+00,-422.111E-03
+344.000E-03,+4.145792E+00,-95.477E-03,-2.010050E+00,-462.312E-03
+352.000E-03,+4.467400E+00,-7.035E-03,+2.814070E+00,-442.211E-03
+360.000E-03,+4.226194E+00,+65.327E-03,-1.608040E+00,-442.211E-03
+368.000E-03,+4.226194E+00,+65.327E-03,-1.608040E+00,-422.111E-03
+376.000E-03,+4.306596E+00,-151.759E-03,-2.412060E+00,-402.010E-03
+384.000E-03,+3.904586E+00,-103.518E-03,+1.608040E+00,-402.010E-03
+392.000E-03,+4.306596E+00,-111.558E-03,-2.412060E+00,-381.910E-03
+400.000E-03,+4.065390E+00,+73.367E-03,+402.010E-03,-402.010E-03
+408.000E-03,+4.306596E+00,-143.719E-03,-2.412060E+00,-402.010E-03
+416.000E-03,+4.226194E+00,+33.166E-03,-2.412060E+00,-402.010E-03
+424.000E-03,+3.984988E+00,-7.035E-03,-2.814070E+00,-402.010E-03
+432.000E-03,+3.824184E+00,+65.327E-03,-0.0E+00,-462.312E-03
+440.000E-03,+3.904586E+00,+57.286E-03,-3.618090E+00,-381.910E-03
+448.000E-03,+4.226194E+00,+25.126E-03,-804.020E-03,-402.010E-03
+456.000E-03,+4.226194E+00,+105.528E-03,+402.010E-03,-381.910E-03
+464.000E-03,+4.065390E+00,+121.608E-03,-4.020101E+00,-402.010E-03
+472.000E-03,+3.824184E+00,-119.598E-03,+2.814070E+00,-381.910E-03
+480.000E-03,+4.226194E+00,+97.487E-03,+402.010E-03,-422.111E-03
+488.000E-03,+4.145792E+00,-127.638E-03,+1.608040E+00,-422.111E-03
+496.000E-03,+4.386998E+00,+121.608E-03,-2.814070E+00,-361.809E-03
+504.000E-03,+4.386998E+00,+65.327E-03,-2.814070E+00,-422.111E-03
+512.000E-03,+3.743782E+00,-71.357E-03,+2.412060E+00,-402.010E-03
+520.000E-03,+4.226194E+00,-79.397E-03,-2.412060E+00,-402.010E-03
+528.000E-03,+3.904586E+00,+1.005E-03,+3.618090E+00,-422.111E-03
+536.000E-03,+4.386998E+00,+105.528E-03,-402.010E-03,-422.111E-03
+544.000E-03,+4.145792E+00,-7.035E-03,+3.618090E+00,-361.809E-03
+552.000E-03,+4.386998E+00,+25.126E-03,+5.226131E+00,-402.010E-03
+560.000E-03,+4.467400E+00,-39.196E-03,-1.206030E+00,-442.211E-03
+568.000E-03,+4.226194E+00,-119.598E-03,-1.206030E+00,-422.111E-03
+576.000E-03,+4.226194E+00,+33.166E-03,+0.0E+00,-422.111E-03
+584.000E-03,+4.628204E+00,-143.719E-03,-0.0E+00,-422.111E-03
+592.000E-03,+4.467400E+00,-87.437E-03,-3.216080E+00,-402.010E-03
+600.000E-03,+4.306596E+00,-111.558E-03,+1.206030E+00,-402.010E-03
+608.000E-03,+4.145792E+00,+1.005E-03,+804.020E-03,-402.010E-03
+616.000E-03,+4.386998E+00,+57.286E-03,-3.618090E+00,-402.010E-03
+624.000E-03,+4.467400E+00,+1.005E-03,+402.010E-03,-422.111E-03
+632.000E-03,+4.547802E+00,+57.286E-03,+2.010050E+00,-381.910E-03
+640.000E-03,+4.306596E+00,-111.558E-03,-2.010050E+00,-442.211E-03
+648.000E-03,+4.226194E+00,+73.367E-03,+0.0E+00,-422.111E-03
+656.000E-03,+4.547802E+00,-143.719E-03,+2.814070E+00,-442.211E-03
+664.000E-03,+4.306596E+00,-39.196E-03,+402.010E-03,-442.211E-03
+672.000E-03,+4.145792E+00,+41.206E-03,-1.608040E+00,-422.111E-03
+680.000E-03,+4.226194E+00,-23.116E-03,-1.206030E+00,-442.211E-03
+688.000E-03,+4.226194E+00,+73.367E-03,-402.010E-03,-442.211E-03
+696.000E-03,+4.386998E+00,+97.487E-03,+2.010050E+00,-422.111E-03
+704.000E-03,+3.904586E+00,-167.839E-03,+3.618090E+00,-422.111E-03
+712.000E-03,+4.226194E+00,-167.839E-03,+1.206030E+00,-422.111E-03
+720.000E-03,+4.306596E+00,-159.799E-03,-2.412060E+00,-402.010E-03
+728.000E-03,+3.984988E+00,+89.447E-03,-402.010E-03,-422.111E-03
+736.000E-03,+4.065390E+00,+17.085E-03,+1.206030E+00,-422.111E-03
+744.000E-03,+3.824184E+00,+1.005E-03,-2.010050E+00,-402.010E-03
+752.000E-03,+4.226194E+00,-111.558E-03,+2.814070E+00,-361.809E-03
+760.000E-03,+4.226194E+00,+17.085E-03,-2.814070E+00,-402.010E-03
+768.000E-03,+4.145792E+00,-151.759E-03,+4.020101E+00,-381.910E-03
+776.000E-03,+4.145792E+00,+17.085E-03,-4.020101E+00,-402.010E-03
+784.000E-03,+3.743782E+00,-15.075E-03,-2.010050E+00,-422.111E-03
+792.000E-03,+4.226194E+00,+1.005E-03,-3.618090E+00,-402.010E-03
+800.000E-03,+3.984988E+00,-71.357E-03,+0.0E+00,-422.111E-03
+808.000E-03,+4.467400E+00,-143.719E-03,+1.608040E+00,-402.010E-03
+816.000E-03,+4.145792E+00,+121.608E-03,-4.422111E+00,-402.010E-03
+824.000E-03,+4.467400E+00,+105.528E-03,-1.608040E+00,-442.211E-03
+832.000E-03,+3.904586E+00,+65.327E-03,-804.020E-03,-381.910E-03
+840.000E-03,+4.547802E+00,-159.799E-03,+402.010E-03,-402.010E-03
+848.000E-03,+4.467400E+00,+73.367E-03,+1.608040E+00,-361.809E-03
+856.000E-03,+3.824184E+00,+97.487E-03,-804.020E-03,-422.111E-03
+864.000E-03,+4.065390E+00,+17.085E-03,+1.206030E+00,-442.211E-03
