Machine Module,N9322C,CN0743A505
MCU Version,A.05.14
DSP Version,A.05.02.00 SA
FPGA Version,A.02.80
03:51:48 05.04.2024
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),0.021665,AUTO
Start Frequency,+3.499500000e+08
Stop Frequency,+3.500500000e+08
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+02,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,+2.900000000e+01
Attenuation,50,AUTO
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
|M1,1,Frequency,-1.087 kHz,-0.64 dB
1R,1,Frequency,349.972174 MHz,-65.36 dBm
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Pos Peak,
Trace Data
+3.499500000e+08,-5.990759277e+01,
+3.499502174e+08,-5.996237183e+01,
+3.499504348e+08,-6.173585510e+01,
+3.499506522e+08,-6.484828949e+01,
+3.499508696e+08,-6.369691467e+01,
+3.499510870e+08,-6.106732178e+01,
+3.499513043e+08,-6.103861237e+01,
+3.499515217e+08,-6.345418549e+01,
+3.499517391e+08,-6.799115753e+01,
+3.499519565e+08,-6.291469574e+01,
+3.499521739e+08,-5.967960358e+01,
+3.499523913e+08,-5.944631958e+01,
+3.499526087e+08,-6.800808716e+01,
+3.499528261e+08,-6.218168640e+01,
+3.499530435e+08,-5.894495392e+01,
+3.499532609e+08,-5.813616180e+01,
+3.499534783e+08,-5.878427124e+01,
+3.499536957e+08,-6.349213409e+01,
+3.499539130e+08,-6.423191071e+01,
+3.499541304e+08,-6.764019775e+01,
+3.499543478e+08,-6.948597717e+01,
+3.499545652e+08,-7.243521881e+01,
+3.499547826e+08,-6.556967926e+01,
+3.499550000e+08,-5.717149353e+01,
+3.499552174e+08,-2.998891258e+01,
+3.499554348e+08,-1.943989372e+01,
+3.499556522e+08,-1.801594734e+01,
+3.499558696e+08,-2.280803490e+01,
+3.499560870e+08,-3.768048859e+01,
+3.499563043e+08,-6.702540588e+01,
+3.499565217e+08,-6.429538727e+01,
+3.499567391e+08,-6.392746353e+01,
+3.499569565e+08,-6.414159393e+01,
+3.499571739e+08,-6.357030487e+01,
+3.499573913e+08,-6.518982697e+01,
+3.499576087e+08,-6.466774750e+01,
+3.499578261e+08,-6.523849487e+01,
+3.499580435e+08,-6.217713165e+01,
+3.499582609e+08,-6.256239319e+01,
+3.499584783e+08,-6.482083130e+01,
+3.499586957e+08,-6.237586975e+01,
+3.499589130e+08,-6.158132172e+01,
+3.499591304e+08,-6.052120972e+01,
+3.499593478e+08,-6.187126160e+01,
+3.499595652e+08,-6.783076477e+01,
+3.499597826e+08,-6.195047760e+01,
+3.499600000e+08,-5.747103119e+01,
+3.499602174e+08,-5.795026398e+01,
+3.499604348e+08,-6.308959961e+01,
+3.499606522e+08,-6.219339752e+01,
+3.499608696e+08,-6.552235413e+01,
+3.499610870e+08,-6.418602753e+01,
+3.499613043e+08,-6.394582748e+01,
+3.499615217e+08,-6.533092499e+01,
+3.499617391e+08,-5.935116577e+01,
+3.499619565e+08,-5.846546173e+01,
+3.499621739e+08,-6.110593414e+01,
+3.499623913e+08,-6.222429657e+01,
+3.499626087e+08,-6.506134796e+01,
+3.499628261e+08,-6.406542969e+01,
+3.499630435e+08,-6.234791565e+01,
+3.499632609e+08,-5.930375671e+01,
+3.499634783e+08,-5.985665894e+01,
+3.499636957e+08,-6.178240204e+01,
+3.499639130e+08,-6.118656921e+01,
+3.499641304e+08,-6.576367950e+01,
+3.499643478e+08,-6.417655945e+01,
+3.499645652e+08,-6.421990204e+01,
+3.499647826e+08,-6.279666901e+01,
+3.499650000e+08,-6.371739578e+01,
+3.499652174e+08,-6.481961823e+01,
+3.499654348e+08,-6.199739075e+01,
+3.499656522e+08,-6.162540436e+01,
+3.499658696e+08,-6.314392090e+01,
+3.499660870e+08,-6.499558258e+01,
+3.499663043e+08,-6.222301483e+01,
+3.499665217e+08,-6.303368378e+01,
+3.499667391e+08,-6.641542053e+01,
+3.499669565e+08,-6.404180145e+01,
+3.499671739e+08,-6.104507446e+01,
+3.499673913e+08,-6.198912048e+01,
+3.499676087e+08,-6.393468857e+01,
+3.499678261e+08,-6.268955994e+01,
+3.499680435e+08,-6.499245453e+01,
+3.499682609e+08,-7.647552490e+01,
+3.499684783e+08,-6.579307556e+01,
+3.499686957e+08,-6.571555328e+01,
+3.499689130e+08,-6.274880981e+01,
+3.499691304e+08,-6.523923492e+01,
+3.499693478e+08,-5.972447205e+01,
+3.499695652e+08,-3.819596100e+01,
+3.499697826e+08,-2.357426262e+01,
+3.499700000e+08,-1.916804314e+01,
+3.499702174e+08,-2.078433800e+01,
+3.499704348e+08,-3.168308830e+01,
+3.499706522e+08,-5.363977814e+01,
+3.499708696e+08,-6.626632690e+01,
+3.499710870e+08,-6.600052643e+01,
+3.499713043e+08,-6.652072906e+01,
+3.499715217e+08,-7.189460754e+01,
+3.499717391e+08,-6.990916443e+01,
+3.499719565e+08,-6.908835602e+01,
+3.499721739e+08,-6.536289978e+01,
+3.499723913e+08,-6.466024017e+01,
+3.499726087e+08,-6.636886597e+01,
+3.499728261e+08,-6.395416641e+01,
+3.499730435e+08,-6.396136856e+01,
+3.499732609e+08,-7.080682373e+01,
+3.499734783e+08,-6.524661255e+01,
+3.499736957e+08,-6.627139282e+01,
+3.499739130e+08,-6.712899017e+01,
+3.499741304e+08,-6.044256592e+01,
+3.499743478e+08,-5.885995483e+01,
+3.499745652e+08,-5.974434662e+01,
+3.499747826e+08,-6.396892929e+01,
+3.499750000e+08,-6.687533569e+01,
+3.499752174e+08,-7.229783630e+01,
+3.499754348e+08,-7.130771637e+01,
+3.499756522e+08,-6.331626892e+01,
+3.499758696e+08,-5.848455048e+01,
+3.499760870e+08,-5.616017914e+01,
+3.499763043e+08,-5.675183868e+01,
+3.499765217e+08,-6.254854584e+01,
+3.499767391e+08,-6.224453735e+01,
+3.499769565e+08,-6.965007019e+01,
+3.499771739e+08,-6.646041870e+01,
+3.499773913e+08,-6.510082245e+01,
+3.499776087e+08,-6.168157959e+01,
+3.499778261e+08,-6.430314636e+01,
+3.499780435e+08,-5.941744232e+01,
+3.499782609e+08,-5.884903717e+01,
+3.499784783e+08,-6.324880981e+01,
+3.499786957e+08,-7.068893433e+01,
+3.499789130e+08,-6.601024628e+01,
+3.499791304e+08,-6.575203705e+01,
+3.499793478e+08,-7.723159790e+01,
+3.499795652e+08,-6.726346588e+01,
+3.499797826e+08,-6.500443268e+01,
+3.499800000e+08,-6.651065826e+01,
+3.499802174e+08,-6.510353851e+01,
+3.499804348e+08,-6.673005676e+01,
+3.499806522e+08,-7.714389801e+01,
+3.499808696e+08,-7.082271576e+01,
+3.499810870e+08,-6.780135345e+01,
+3.499813043e+08,-6.329761505e+01,
+3.499815217e+08,-6.316233063e+01,
+3.499817391e+08,-6.872815704e+01,
+3.499819565e+08,-6.144401550e+01,
+3.499821739e+08,-5.837426758e+01,
+3.499823913e+08,-5.847051239e+01,
+3.499826087e+08,-5.944893646e+01,
+3.499828261e+08,-6.189115906e+01,
