x-axis,1,2,3
second,Volt,Volt,Volt
-1.26600000E+00,,,
-1.26596800E+00,,,
-1.26593600E+00,,,
-1.26590400E+00,,,
-1.26587200E+00,,,
-1.26584000E+00,,,
-1.26580800E+00,,,
-1.26577600E+00,,,
-1.26574400E+00,,,
-1.26571200E+00,,,
-1.26568000E+00,,,
-1.26564800E+00,,,
-1.26561600E+00,-26.53266148E+00,+74.49746E-03,+376.90E-06
-1.26558400E+00,-25.65326448E+00,+65.70349E-03,-80.02511E-03
-1.26555200E+00,-26.53266148E+00,+74.49746E-03,-115.20099E-03
-1.26552000E+00,-25.08793783E+00,+65.70349E-03,-80.02511E-03
-1.26548800E+00,-25.65326448E+00,+80.15073E-03,-115.20099E-03
-1.26545600E+00,-25.96733484E+00,+74.49746E-03,-57.41204E-03
-1.26542400E+00,-24.20854083E+00,+65.70349E-03,-57.41204E-03
-1.26539200E+00,-27.09798813E+00,+80.15073E-03,-57.41204E-03
-1.26536000E+00,-27.09798813E+00,+80.15073E-03,-57.41204E-03
-1.26532800E+00,-26.53266148E+00,+85.80399E-03,-80.02511E-03
-1.26529600E+00,-25.65326448E+00,+94.59796E-03,-137.81405E-03
-1.26526400E+00,-26.53266148E+00,+80.15073E-03,-183.04018E-03
-1.26523200E+00,-25.08793783E+00,+80.15073E-03,-230.77888E-03
-1.26520000E+00,-25.08793783E+00,+80.15073E-03,-57.41204E-03
-1.26516800E+00,-25.08793783E+00,+80.15073E-03,-102.63817E-03
-1.26513600E+00,-25.65326448E+00,+80.15073E-03,-172.98993E-03
-1.26510400E+00,-27.09798813E+00,+80.15073E-03,-57.41204E-03
-1.26507200E+00,-27.09798813E+00,+85.80399E-03,-80.02511E-03
-1.26504000E+00,-27.09798813E+00,+94.59796E-03,-115.20099E-03
-1.26500800E+00,-27.09798813E+00,+85.80399E-03,-57.41204E-03
-1.26497600E+00,-26.53266148E+00,+94.59796E-03,-57.41204E-03
-1.26494400E+00,-25.08793783E+00,+80.15073E-03,-34.79898E-03
-1.26491200E+00,-25.65326448E+00,+80.15073E-03,-22.23616E-03
-1.26488000E+00,-27.09798813E+00,+85.80399E-03,-115.20099E-03
-1.26484800E+00,-26.53266148E+00,+94.59796E-03,-34.79898E-03
-1.26481600E+00,-25.08793783E+00,+85.80399E-03,-22.23616E-03
-1.26478400E+00,-25.65326448E+00,+88.94470E-03,-115.20099E-03
-1.26475200E+00,-27.09798813E+00,+65.70349E-03,-80.02511E-03
-1.26472000E+00,-27.09798813E+00,+80.15073E-03,-92.58792E-03
-1.26468800E+00,-27.09798813E+00,+74.49746E-03,+376.90E-06
-1.26465600E+00,-26.53266148E+00,+71.35676E-03,-57.41204E-03
-1.26462400E+00,-25.65326448E+00,+94.59796E-03,-57.41204E-03
-1.26459200E+00,-27.66331477E+00,+85.80399E-03,-80.02511E-03
-1.26456000E+00,-28.54271178E+00,+88.94470E-03,-92.58792E-03
-1.26452800E+00,-27.09798813E+00,+60.05022E-03,+376.90E-06
-1.26449600E+00,-26.53266148E+00,+71.35676E-03,-57.41204E-03
-1.26446400E+00,-25.65326448E+00,+94.59796E-03,-57.41204E-03
-1.26443200E+00,-26.53266148E+00,+80.15073E-03,-57.41204E-03
-1.26440000E+00,-25.65326448E+00,+80.15073E-03,-34.79898E-03
-1.26436800E+00,-26.53266148E+00,+80.15073E-03,-22.23616E-03
-1.26433600E+00,-25.65326448E+00,+80.15073E-03,-137.81405E-03
-1.26430400E+00,-27.09798813E+00,+80.15073E-03,-115.20099E-03
-1.26427200E+00,-26.53266148E+00,+74.49746E-03,-34.79898E-03
-1.26424000E+00,-25.08793783E+00,+65.70349E-03,+22.98997E-03
-1.26420800E+00,-25.65326448E+00,+80.15073E-03,+376.90E-06
-1.26417600E+00,-27.09798813E+00,+80.15073E-03,-57.41204E-03
-1.26414400E+00,-27.09798813E+00,+74.49746E-03,-57.41204E-03
-1.26411200E+00,-27.09798813E+00,+60.05022E-03,-57.41204E-03
-1.26408000E+00,-26.53266148E+00,+60.05022E-03,-57.41204E-03
-1.26404800E+00,-25.65326448E+00,+65.70349E-03,-80.02511E-03
-1.26401600E+00,-26.53266148E+00,+80.15073E-03,-115.20099E-03
-1.26398400E+00,-25.65326448E+00,+74.49746E-03,-57.41204E-03
-1.26395200E+00,-27.09798813E+00,+65.70349E-03,-57.41204E-03
-1.26392000E+00,-27.09798813E+00,+80.15073E-03,-57.41204E-03
-1.26388800E+00,-27.09798813E+00,+80.15073E-03,-57.41204E-03
-1.26385600E+00,-27.09798813E+00,+80.15073E-03,-57.41204E-03
-1.26382400E+00,-26.53266148E+00,+74.49746E-03,-57.41204E-03
-1.26379200E+00,-25.65326448E+00,+65.70349E-03,-80.02511E-03
-1.26376000E+00,-27.09798813E+00,+80.15073E-03,-115.20099E-03
-1.26372800E+00,-26.53266148E+00,+85.80399E-03,-34.79898E-03
-1.26369600E+00,-26.21859112E+00,+94.59796E-03,+22.98997E-03
-1.26366400E+00,-27.97738513E+00,+74.49746E-03,-44.84923E-03
-1.26363200E+00,-25.65326448E+00,+65.70349E-03,-172.98993E-03
-1.26360000E+00,-27.09798813E+00,+80.15073E-03,-102.63817E-03
-1.26356800E+00,-27.09798813E+00,+80.15073E-03,-127.76380E-03
-1.26353600E+00,-26.53266148E+00,+74.49746E-03,+35.55278E-03
-1.26350400E+00,-25.65326448E+00,+65.70349E-03,-137.81405E-03
-1.26347200E+00,-26.53266148E+00,+80.15073E-03,-92.58792E-03
-1.26344000E+00,-25.08793783E+00,+74.49746E-03,+45.60303E-03
-1.26340800E+00,-25.65326448E+00,+60.05022E-03,+80.77891E-03
-1.26337600E+00,-27.09798813E+00,+65.70349E-03,-22.23616E-03
-1.26334400E+00,-27.09798813E+00,+80.15073E-03,-115.20099E-03
-1.26331200E+00,-27.09798813E+00,+80.15073E-03,-80.02511E-03
-1.26328000E+00,-26.53266148E+00,+80.15073E-03,-69.97486E-03
-1.26324800E+00,-25.65326448E+00,+80.15073E-03,+58.16584E-03
-1.26321600E+00,-27.09798813E+00,+80.15073E-03,-57.41204E-03
-1.26318400E+00,-27.09798813E+00,+74.49746E-03,-80.02511E-03
-1.26315200E+00,-27.09798813E+00,+65.70349E-03,-115.20099E-03
-1.26312000E+00,-27.09798813E+00,+74.49746E-03,-80.02511E-03
-1.26308800E+00,-27.09798813E+00,+65.70349E-03,-92.58792E-03
-1.26305600E+00,-27.09798813E+00,+85.80399E-03,-22.23616E-03
-1.26302400E+00,-27.66331477E+00,+88.94470E-03,-115.20099E-03
-1.26299200E+00,-28.54271178E+00,+65.70349E-03,-57.41204E-03
-1.26296000E+00,-27.09798813E+00,+74.49746E-03,-57.41204E-03
-1.26292800E+00,-27.09798813E+00,+71.35676E-03,-57.41204E-03
-1.26289600E+00,-27.09798813E+00,+94.59796E-03,-80.02511E-03
-1.26286400E+00,-27.09798813E+00,+85.80399E-03,-137.81405E-03
-1.26283200E+00,-26.53266148E+00,+88.94470E-03,-115.20099E-03
-1.26280000E+00,-25.65326448E+00,+71.35676E-03,-57.41204E-03
-1.26276800E+00,-27.09798813E+00,+94.59796E-03,-80.02511E-03
-1.26273600E+00,-27.09798813E+00,+80.15073E-03,-115.20099E-03
-1.26270400E+00,-25.96733484E+00,+85.80399E-03,-57.41204E-03
-1.26267200E+00,-23.64321418E+00,+88.94470E-03,-80.02511E-03
-1.26264000E+00,-25.65326448E+00,+65.70349E-03,-115.20099E-03
-1.26260800E+00,-27.09798813E+00,+80.15073E-03,-57.41204E-03
-1.26257600E+00,-27.09798813E+00,+80.15073E-03,-57.41204E-03
-1.26254400E+00,-27.09798813E+00,+74.49746E-03,-80.02511E-03
-1.26251200E+00,-27.09798813E+00,+60.05022E-03,-115.20099E-03
-1.26248000E+00,-27.09798813E+00,+71.35676E-03,-80.02511E-03
-1.26244800E+00,-27.09798813E+00,+94.59796E-03,-137.81405E-03
-1.26241600E+00,-27.09798813E+00,+80.15073E-03,-115.20099E-03
-1.26238400E+00,-27.09798813E+00,+85.80399E-03,-80.02511E-03
-1.26235200E+00,-27.09798813E+00,+83.29143E-03,-115.20099E-03
-1.26232000E+00,-26.53266148E+00,+45.60299E-03,-34.79898E-03
-1.26228800E+00,-25.08793783E+00,+60.05022E-03,+376.90E-06
-1.26225600E+00,-25.08793783E+00,+60.05022E-03,-57.41204E-03
-1.26222400E+00,-25.08793783E+00,+60.05022E-03,-80.02511E-03
-1.26219200E+00,-25.08793783E+00,+71.35676E-03,-137.81405E-03
-1.26216000E+00,-25.65326448E+00,+100.25123E-03,-137.81405E-03
-1.26212800E+00,-27.09798813E+00,+100.25123E-03,-160.42712E-03
-1.26209600E+00,-26.53266148E+00,+88.94470E-03,-172.98993E-03
-1.26206400E+00,-25.65326448E+00,+65.70349E-03,-80.02511E-03
-1.26203200E+00,-26.53266148E+00,+80.15073E-03,-92.58792E-03
-1.26200000E+00,-25.65326448E+00,+85.80399E-03,+45.60303E-03
-1.26196800E+00,-27.66331477E+00,+100.25123E-03,+58.16584E-03
-1.26193600E+00,-28.54271178E+00,+94.59796E-03,-80.02511E-03
-1.26190400E+00,-27.09798813E+00,+85.80399E-03,-137.81405E-03
-1.26187200E+00,-25.96733484E+00,+94.59796E-03,-115.20099E-03
-1.26184000E+00,-24.20854083E+00,+80.15073E-03,-102.63817E-03
-1.26180800E+00,-27.09798813E+00,+80.15073E-03,-150.37687E-03
-1.26177600E+00,-26.53266148E+00,+74.49746E-03,+376.90E-06
-1.26174400E+00,-25.65326448E+00,+65.70349E-03,-12.18591E-03
-1.26171200E+00,-26.53266148E+00,+80.15073E-03,+35.55278E-03
-1.26168000E+00,-25.08793783E+00,+80.15073E-03,-115.20099E-03
-1.26164800E+00,-25.65326448E+00,+74.49746E-03,-57.41204E-03
-1.26161600E+00,-27.09798813E+00,+60.05022E-03,-34.79898E-03
-1.26158400E+00,-26.53266148E+00,+65.70349E-03,-22.23616E-03
-1.26155200E+00,-25.08793783E+00,+80.15073E-03,-137.81405E-03
-1.26152000E+00,-25.08793783E+00,+80.15073E-03,-137.81405E-03
-1.26148800E+00,-26.21859112E+00,+85.80399E-03,-137.81405E-03
-1.26145600E+00,-28.54271178E+00,+94.59796E-03,-115.20099E-03
-1.26142400E+00,-26.53266148E+00,+74.49746E-03,-12.18591E-03
-1.26139200E+00,-25.08793783E+00,+65.70349E-03,+58.16584E-03
-1.26136000E+00,-25.65326448E+00,+80.15073E-03,-80.02511E-03
-1.26132800E+00,-27.09798813E+00,+80.15073E-03,-137.81405E-03
-1.26129600E+00,-27.09798813E+00,+80.15073E-03,-160.42712E-03
-1.26126400E+00,-27.09798813E+00,+85.80399E-03,-195.60300E-03
-1.26123200E+00,-27.09798813E+00,+94.59796E-03,-137.81405E-03
-1.26120000E+00,-27.09798813E+00,+85.80399E-03,-115.20099E-03
-1.26116800E+00,-27.09798813E+00,+100.25123E-03,-12.18591E-03
-1.26113600E+00,-26.53266148E+00,+100.25123E-03,+58.16584E-03
-1.26110400E+00,-25.08793783E+00,+94.59796E-03,-57.41204E-03
-1.26107200E+00,-25.08793783E+00,+80.15073E-03,-80.02511E-03
-1.26104000E+00,-25.08793783E+00,+80.15073E-03,-115.20099E-03
-1.26100800E+00,-25.65326448E+00,+80.15073E-03,-57.41204E-03
-1.26097600E+00,-27.09798813E+00,+80.15073E-03,-80.02511E-03
-1.26094400E+00,-27.09798813E+00,+80.15073E-03,-92.58792E-03
-1.26091200E+00,-27.09798813E+00,+85.80399E-03,+376.90E-06
-1.26088000E+00,-27.09798813E+00,+94.59796E-03,-80.02511E-03
-1.26084800E+00,-27.09798813E+00,+80.15073E-03,-92.58792E-03
-1.26081600E+00,-26.53266148E+00,+74.49746E-03,+22.98997E-03
-1.26078400E+00,-25.65326448E+00,+71.35676E-03,+376.90E-06
-1.26075200E+00,-27.09798813E+00,+88.94470E-03,-34.79898E-03
-1.26072000E+00,-26.53266148E+00,+65.70349E-03,+45.60303E-03
-1.26068800E+00,-25.65326448E+00,+85.80399E-03,+12.93971E-03
