x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-1.3500000E-03,-4.2927134782E+00,+7.2801507E-03,-2.6620603E-03,-193.1909541E-03
-1.3496000E-03,-4.2927134782E+00,+5.4585426E-03,-5.5766331E-03,-197.2110546E-03
-1.3492000E-03,-4.4748742837E+00,+8.9133165E-03,-3.6922110E-03,-197.5879390E-03
-1.3488000E-03,-4.3115576995E+00,+5.6469848E-03,-1.2801508E-03,-197.5879390E-03
-1.3484000E-03,-4.4748742837E+00,+8.9133165E-03,-3.2399497E-03,-197.5879390E-03
-1.3480000E-03,-4.3115576995E+00,+9.2902009E-03,-4.1947236E-03,-197.5879390E-03
-1.3476000E-03,-4.2927134782E+00,+7.4685929E-03,-2.8128141E-03,-197.5879390E-03
-1.3472000E-03,-4.2927134782E+00,+5.4585426E-03,-3.3907035E-03,-197.5879390E-03
-1.3468000E-03,-4.2927134782E+00,+8.9133165E-03,-2.7374372E-03,-193.9447229E-03
-1.3464000E-03,-4.4748742837E+00,+7.4685929E-03,-3.3907035E-03,-197.2110546E-03
-1.3460000E-03,-4.4937185049E+00,+7.2801507E-03,-2.7374372E-03,-197.5879390E-03
-1.3456000E-03,-4.3115576995E+00,+9.1017587E-03,-1.9334171E-03,-197.5879390E-03
-1.3452000E-03,-4.2927134782E+00,+11.1118089E-03,-2.5866834E-03,-190.3015069E-03
-1.3448000E-03,-4.2927134782E+00,+9.4786431E-03,-4.1193467E-03,-193.1909541E-03
-1.3444000E-03,-4.4748742837E+00,+9.2902009E-03,-2.8128141E-03,-197.2110546E-03
-1.3440000E-03,-4.3115576995E+00,+9.2902009E-03,-3.3907035E-03,-193.9447229E-03
-1.3436000E-03,-4.4748742837E+00,+9.2902009E-03,-2.7374372E-03,-193.5678385E-03
-1.3432000E-03,-4.4937185049E+00,+9.2902009E-03,-2.6620603E-03,-193.5678385E-03
-1.3428000E-03,-4.3115576995E+00,+7.4685929E-03,-2.6620603E-03,-197.2110546E-03
-1.3424000E-03,-4.4748742837E+00,+7.2801507E-03,-476.1307E-06,-197.5879390E-03
-1.3420000E-03,-4.4937185049E+00,+9.1017587E-03,-2.4359296E-03,-193.9447229E-03
-1.3416000E-03,-4.4937185049E+00,+7.4685929E-03,-3.3907035E-03,-193.5678385E-03
-1.3412000E-03,-4.3115576995E+00,+7.2801507E-03,-2.0087940E-03,-193.5678385E-03
-1.3408000E-03,-4.4748742837E+00,+7.2801507E-03,-3.3153266E-03,-197.2110546E-03
-1.3404000E-03,-4.3115576995E+00,+9.1017587E-03,-3.4660804E-03,-193.9447229E-03
-1.3400000E-03,-4.6570350891E+00,+5.6469848E-03,-2.7374372E-03,-193.5678385E-03
-1.3396000E-03,-4.3304019207E+00,+7.0917085E-03,-1.9334171E-03,-197.2110546E-03
-1.3392000E-03,-4.2927134782E+00,+9.1017587E-03,-3.3153266E-03,-197.5879390E-03
-1.3388000E-03,-4.4748742837E+00,+5.6469848E-03,-3.4660804E-03,-193.9447229E-03
-1.3384000E-03,-4.3115576995E+00,+10.7349245E-03,-1.2801508E-03,-193.5678385E-03
-1.3380000E-03,-4.4748742837E+00,+7.6570351E-03,-1.7826633E-03,-193.5678385E-03
-1.3376000E-03,-4.4937185049E+00,+5.4585426E-03,-3.3153266E-03,-197.2110546E-03
-1.3372000E-03,-4.4937185049E+00,+5.2701004E-03,-2.0087940E-03,-193.9447229E-03
-1.3368000E-03,-4.1293968940E+00,+7.0917085E-03,-4.7726130E-03,-193.5678385E-03
-1.3364000E-03,-4.2738692570E+00,+7.2801507E-03,-2.1595477E-03,-197.2110546E-03
-1.3360000E-03,-4.4748742837E+00,+7.2801507E-03,-5.5012562E-03,-197.5879390E-03
-1.3356000E-03,-4.3115576995E+00,+9.1017587E-03,-2.9635678E-03,-197.5879390E-03
-1.3352000E-03,-4.4748742837E+00,+9.2902009E-03,-1.9334171E-03,-193.9447229E-03
-1.3348000E-03,-4.4937185049E+00,+7.4685929E-03,-2.5866834E-03,-197.2110546E-03
-1.3344000E-03,-4.3115576995E+00,+9.1017587E-03,-3.3907035E-03,-193.9447229E-03
-1.3340000E-03,-4.4748742837E+00,+9.2902009E-03,-2.0087940E-03,-193.5678385E-03
-1.3336000E-03,-4.4937185049E+00,+7.4685929E-03,-3.3153266E-03,-197.2110546E-03
-1.3332000E-03,-4.4937185049E+00,+7.2801507E-03,-3.4660804E-03,-197.5879390E-03
-1.3328000E-03,-4.4937185049E+00,+7.2801507E-03,-3.4660804E-03,-193.9447229E-03
-1.3324000E-03,-4.4937185049E+00,+9.1017587E-03,-3.4660804E-03,-197.2110546E-03
-1.3320000E-03,-4.4937185049E+00,+7.4685929E-03,-3.4660804E-03,-197.5879390E-03
-1.3316000E-03,-4.1293968940E+00,+9.1017587E-03,-3.4660804E-03,-197.5879390E-03
-1.3312000E-03,-4.0917084515E+00,+7.4685929E-03,-2.0087940E-03,-193.9447229E-03
-1.3308000E-03,-4.4560300624E+00,+9.1017587E-03,-3.3153266E-03,-193.5678385E-03
-1.3304000E-03,-4.3115576995E+00,+9.2902009E-03,-551.5075E-06,-197.2110546E-03
-1.3300000E-03,-4.4748742837E+00,+5.6469848E-03,-1.7072864E-03,-197.5879390E-03
-1.3296000E-03,-4.4937185049E+00,+7.0917085E-03,-3.3153266E-03,-193.9447229E-03
-1.3292000E-03,-4.4937185049E+00,+7.2801507E-03,-1.2801508E-03,-197.2110546E-03
-1.3288000E-03,-4.4937185049E+00,+9.1017587E-03,-3.2399497E-03,-197.5879390E-03
-1.3284000E-03,-4.3115576995E+00,+7.4685929E-03,-2.7374372E-03,-197.5879390E-03
-1.3280000E-03,-4.2927134782E+00,+9.1017587E-03,-3.3907035E-03,-190.3015069E-03
-1.3276000E-03,-4.2927134782E+00,+7.4685929E-03,-1.2801508E-03,-196.8341701E-03
-1.3272000E-03,-4.4748742837E+00,+7.2801507E-03,-3.2399497E-03,-197.5879390E-03
-1.3268000E-03,-4.6758793104E+00,+7.2801507E-03,-2.0087940E-03,-193.9447229E-03
-1.3264000E-03,-4.6947235316E+00,+9.1017587E-03,-4.0439698E-03,-193.5678385E-03
-1.3260000E-03,-4.3304019207E+00,+3.8253768E-03,-2.0841708E-03,-197.2110546E-03
-1.3256000E-03,-4.4748742837E+00,+8.7248743E-03,-2.5866834E-03,-197.5879390E-03
-1.3252000E-03,-4.6758793104E+00,+7.4685929E-03,-3.3907035E-03,-193.9447229E-03
-1.3248000E-03,-4.5125627262E+00,+7.2801507E-03,-3.4660804E-03,-193.5678385E-03
-1.3244000E-03,-4.3115576995E+00,+7.2801507E-03,-3.4660804E-03,-193.5678385E-03
-1.3240000E-03,-4.2927134782E+00,+10.9233667E-03,-2.7374372E-03,-193.5678385E-03
-1.3236000E-03,-4.2927134782E+00,+9.4786431E-03,-4.8479899E-03,-197.2110546E-03
-1.3232000E-03,-4.2927134782E+00,+9.2902009E-03,-2.8881909E-03,-193.9447229E-03
-1.3228000E-03,-4.4748742837E+00,+7.4685929E-03,-2.6620603E-03,-197.2110546E-03
-1.3224000E-03,-4.3115576995E+00,+7.2801507E-03,-2.6620603E-03,-197.5879390E-03
-1.3220000E-03,-4.4748742837E+00,+7.2801507E-03,-2.6620603E-03,-193.9447229E-03
-1.3216000E-03,-4.4937185049E+00,+7.2801507E-03,-3.3907035E-03,-197.2110546E-03
-1.3212000E-03,-4.3115576995E+00,+7.2801507E-03,-3.4660804E-03,-193.9447229E-03
-1.3208000E-03,-4.4748742837E+00,+10.9233667E-03,-3.4660804E-03,-193.5678385E-03
-1.3204000E-03,-4.3115576995E+00,+9.4786431E-03,-4.1947236E-03,-197.2110546E-03
-1.3200000E-03,-4.1105526728E+00,+9.2902009E-03,-2.0841708E-03,-193.9447229E-03
-1.3196000E-03,-4.4560300624E+00,+7.4685929E-03,-2.5866834E-03,-197.2110546E-03
-1.3192000E-03,-4.4937185049E+00,+9.1017587E-03,-4.1193467E-03,-197.5879390E-03
-1.3188000E-03,-4.3115576995E+00,+7.4685929E-03,-2.8128141E-03,-193.9447229E-03
-1.3184000E-03,-4.2927134782E+00,+9.1017587E-03,-2.6620603E-03,-193.5678385E-03
-1.3180000E-03,-4.4748742837E+00,+7.4685929E-03,-4.1193467E-03,-197.2110546E-03
-1.3176000E-03,-4.3115576995E+00,+7.2801507E-03,-4.2701005E-03,-193.9447229E-03
-1.3172000E-03,-4.2927134782E+00,+7.2801507E-03,-1.3555276E-03,-193.5678385E-03
-1.3168000E-03,-4.2927134782E+00,+9.1017587E-03,-2.5113065E-03,-193.5678385E-03
-1.3164000E-03,-4.2927134782E+00,+7.4685929E-03,-1.9334171E-03,-193.5678385E-03
-1.3160000E-03,-4.4748742837E+00,+7.2801507E-03,-2.5866834E-03,-197.2110546E-03
-1.3156000E-03,-4.4937185049E+00,+7.2801507E-03,-1.9334171E-03,-193.9447229E-03
-1.3152000E-03,-4.4937185049E+00,+9.1017587E-03,-2.5866834E-03,-193.5678385E-03
-1.3148000E-03,-4.3115576995E+00,+9.2902009E-03,-3.3907035E-03,-193.5678385E-03
-1.3144000E-03,-4.2927134782E+00,+7.4685929E-03,-2.7374372E-03,-193.5678385E-03
-1.3140000E-03,-4.2927134782E+00,+7.2801507E-03,-3.3907035E-03,-197.2110546E-03
-1.3136000E-03,-4.4748742837E+00,+9.1017587E-03,-3.4660804E-03,-190.3015069E-03
-1.3132000E-03,-4.3115576995E+00,+11.1118089E-03,-2.7374372E-03,-196.8341701E-03
-1.3128000E-03,-4.4748742837E+00,+5.8354271E-03,-1.9334171E-03,-197.5879390E-03
-1.3124000E-03,-4.4937185049E+00,+7.0917085E-03,-2.5866834E-03,-197.5879390E-03
-1.3120000E-03,-4.3115576995E+00,+7.2801507E-03,-3.3907035E-03,-193.9447229E-03
-1.3116000E-03,-4.6570350891E+00,+7.2801507E-03,-2.7374372E-03,-197.2110546E-03
-1.3112000E-03,-4.5125627262E+00,+7.2801507E-03,-4.1193467E-03,-197.5879390E-03
-1.3108000E-03,-4.6758793104E+00,+9.1017587E-03,-2.8128141E-03,-197.5879390E-03
-1.3104000E-03,-4.3304019207E+00,+11.1118089E-03,-3.3907035E-03,-197.5879390E-03
-1.3100000E-03,-4.4748742837E+00,+7.6570351E-03,-3.4660804E-03,-193.9447229E-03
-1.3096000E-03,-4.3115576995E+00,+9.1017587E-03,-3.4660804E-03,-197.2110546E-03
-1.3092000E-03,-4.4748742837E+00,+7.4685929E-03,-2.0087940E-03,-197.5879390E-03
-1.3088000E-03,-4.3115576995E+00,+7.2801507E-03,-3.3153266E-03,-197.5879390E-03
-1.3084000E-03,-4.4748742837E+00,+5.4585426E-03,-4.9233668E-03,-193.9447229E-03
-1.3080000E-03,-4.6758793104E+00,+7.0917085E-03,-3.6168341E-03,-197.2110546E-03
-1.3076000E-03,-4.5125627262E+00,+7.2801507E-03,-2.7374372E-03,-197.5879390E-03
-1.3072000E-03,-4.4937185049E+00,+7.2801507E-03,-3.3907035E-03,-193.9447229E-03
-1.3068000E-03,-4.4937185049E+00,+9.1017587E-03,-2.7374372E-03,-197.2110546E-03
-1.3064000E-03,-4.3115576995E+00,+7.4685929E-03,-2.6620603E-03,-193.9447229E-03
-1.3060000E-03,-4.4748742837E+00,+7.2801507E-03,-1.9334171E-03,-193.5678385E-03
-1.3056000E-03,-4.3115576995E+00,+7.2801507E-03,-4.0439698E-03,-197.2110546E-03
-1.3052000E-03,-4.1105526728E+00,+7.2801507E-03,-4.2701005E-03,-197.5879390E-03
-1.3048000E-03,-4.4560300624E+00,+5.4585426E-03,-2.0841708E-03,-197.5879390E-03
-1.3044000E-03,-4.3115576995E+00,+7.0917085E-03,-3.3153266E-03,-197.5879390E-03
-1.3040000E-03,-4.4748742837E+00,+7.2801507E-03,-3.4660804E-03,-193.9447229E-03
-1.3036000E-03,-4.3115576995E+00,+5.4585426E-03,-3.4660804E-03,-193.5678385E-03
-1.3032000E-03,-4.2927134782E+00,+7.0917085E-03,-2.7374372E-03,-193.5678385E-03
-1.3028000E-03,-4.4748742837E+00,+7.2801507E-03,-4.8479899E-03,-197.2110546E-03
-1.3024000E-03,-4.4937185049E+00,+7.2801507E-03,-5.0741206E-03,-197.5879390E-03
-1.3020000E-03,-4.3115576995E+00,+9.1017587E-03,-2.1595477E-03,-197.5879390E-03
-1.3016000E-03,-4.2927134782E+00,+5.6469848E-03,-6.2298994E-03,-197.5879390E-03
-1.3012000E-03,-4.4748742837E+00,+7.0917085E-03,-3.0389447E-03,-193.9447229E-03
-1.3008000E-03,-4.4937185049E+00,+7.2801507E-03,-1.9334171E-03,-197.2110546E-03
-1.3004000E-03,-4.4937185049E+00,+9.1017587E-03,-2.5866834E-03,-197.5879390E-03
-1.3000000E-03,-4.3115576995E+00,+5.6469848E-03,-3.3907035E-03,-193.9447229E-03
-1.2996000E-03,-4.4748742837E+00,+7.0917085E-03,-3.4660804E-03,-193.5678385E-03
-1.2992000E-03,-4.3115576995E+00,+7.2801507E-03,-2.7374372E-03,-193.5678385E-03
-1.2988000E-03,-4.2927134782E+00,+7.2801507E-03,-3.3907035E-03,-197.2110546E-03
-1.2984000E-03,-4.2927134782E+00,+9.1017587E-03,-3.4660804E-03,-193.9447229E-03
-1.2980000E-03,-4.4748742837E+00,+5.6469848E-03,-2.7374372E-03,-197.2110546E-03
-1.2976000E-03,-4.3115576995E+00,+8.9133165E-03,-4.1193467E-03,-193.9447229E-03
-1.2972000E-03,-4.2927134782E+00,+7.4685929E-03,-1.3555276E-03,-193.5678385E-03
-1.2968000E-03,-4.4748742837E+00,+5.4585426E-03,-1.7826633E-03,-197.2110546E-03
-1.2964000E-03,-4.3115576995E+00,+8.9133165E-03,-4.7726130E-03,-193.9447229E-03
-1.2960000E-03,-4.2927134782E+00,+7.4685929E-03,-2.1595477E-03,-193.5678385E-03
-1.2956000E-03,-4.4748742837E+00,+7.2801507E-03,-1.8580402E-03,-197.2110546E-03
-1.2952000E-03,-4.4937185049E+00,+5.4585426E-03,-3.3153266E-03,-197.5879390E-03
-1.2948000E-03,-4.3115576995E+00,+8.9133165E-03,-4.1947236E-03,-197.5879390E-03
-1.2944000E-03,-4.2927134782E+00,+7.4685929E-03,-1.3555276E-03,-197.5879390E-03
-1.2940000E-03,-4.4748742837E+00,+9.1017587E-03,-3.2399497E-03,-193.9447229E-03
-1.2936000E-03,-4.3115576995E+00,+9.2902009E-03,-3.4660804E-03,-193.5678385E-03
-1.2932000E-03,-4.4748742837E+00,+5.6469848E-03,-3.4660804E-03,-193.5678385E-03
-1.2928000E-03,-4.4937185049E+00,+3.4484924E-03,-4.1947236E-03,-197.2110546E-03
-1.2924000E-03,-4.4937185049E+00,+6.9032662E-03,-3.5414573E-03,-193.9447229E-03
-1.2920000E-03,-4.4937185049E+00,+7.2801507E-03,-3.4660804E-03,-197.2110546E-03
-1.2916000E-03,-4.4937185049E+00,+9.1017587E-03,-2.7374372E-03,-193.9447229E-03
-1.2912000E-03,-4.4937185049E+00,+7.4685929E-03,-2.6620603E-03,-197.2110546E-03
-1.2908000E-03,-4.6758793104E+00,+7.2801507E-03,-2.6620603E-03,-197.5879390E-03
-1.2904000E-03,-4.5125627262E+00,+9.1017587E-03,-476.1307E-06,-197.5879390E-03
-1.2900000E-03,-4.3115576995E+00,+7.4685929E-03,-3.8932161E-03,-197.5879390E-03
-1.2896000E-03,-4.1105526728E+00,+7.2801507E-03,-1.3555276E-03,-197.5879390E-03
-1.2892000E-03,-4.4560300624E+00,+7.2801507E-03,-3.2399497E-03,-193.9447229E-03
-1.2888000E-03,-4.3115576995E+00,+7.2801507E-03,-3.4660804E-03,-193.5678385E-03
