GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),0.034735,AUTO
Start Frequency,50000000
Stop Frequency,750000000
Frequency Offset,0
Average Type,Log Pwr
RBW,3000000,AUTO
VBW,3000000,AUTO
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,24
Attenuation,45
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,6E-06,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
50000000,-27.9439468383789
51521739.1304348,-30.140697479248
53043478.2608696,-28.8028678894043
54565217.3913043,-31.3611946105957
56086956.5217391,-32.0941009521484
57608695.6521739,-27.6444072723389
59130434.7826087,-31.9718856811523
60652173.9130435,-31.4908103942871
62173913.0434783,-28.1483497619629
63695652.173913,-36.3546676635742
65217391.3043478,-40.0867614746094
66739130.4347826,-28.1413230895996
68260869.5652174,-31.8475761413574
69782608.6956522,-29.9494571685791
71304347.826087,-34.4252243041992
72826086.9565218,-31.8574066162109
74347826.0869565,-33.4234924316406
75869565.2173913,-33.7042465209961
77391304.3478261,-27.9901351928711
78913043.4782609,-29.4594459533691
80434782.6086957,-27.7505970001221
81956521.7391304,-34.8004264831543
83478260.8695652,-34.0064315795898
85000000,-28.3387145996094
86521739.1304348,-34.6270751953125
88043478.2608696,-30.3125686645508
89565217.3913043,-32.9567413330078
91086956.5217391,-27.2485580444336
92608695.6521739,-31.0879726409912
94130434.7826087,-26.6652507781982
95652173.9130435,-16.7571506500244
97173913.0434783,9.06191349029541
98695652.173913,15.9454965591431
100217391.304348,17.1385841369629
101739130.434783,13.9353799819946
103260869.565217,1.76801347732544
104782608.695652,-31.8839263916016
106304347.826087,-27.2959651947021
107826086.956522,-33.5573577880859
109347826.086957,-26.8965721130371
110869565.217391,-28.3527984619141
112391304.347826,-27.1282958984375
113913043.478261,-29.5805816650391
115434782.608696,-27.0450439453125
116956521.73913,-31.9327926635742
118478260.869565,-28.6292018890381
120000000,-29.9236888885498
121521739.130435,-30.5376319885254
123043478.26087,-30.1435165405273
124565217.391304,-29.8855285644531
126086956.521739,-30.9438591003418
127608695.652174,-40.0726013183594
129130434.782609,-35.340202331543
130652173.913043,-28.5274410247803
132173913.043478,-32.0105819702148
133695652.173913,-36.3488388061523
135217391.304348,-31.9851455688477
136739130.434783,-39.7389068603516
138260869.565217,-33.5485153198242
139782608.695652,-26.6140651702881
141304347.826087,-27.6754131317139
142826086.956522,-30.7132244110107
144347826.086957,-27.3074741363525
145869565.217391,-29.9113597869873
147391304.347826,-32.146614074707
148913043.478261,-31.2214183807373
150434782.608696,-33.2619400024414
151956521.73913,-33.6867370605469
153478260.869565,-28.5472240447998
155000000,-33.7904586791992
156521739.130435,-36.0728797912598
158043478.26087,-30.6312694549561
159565217.391304,-35.3946762084961
161086956.521739,-26.2143268585205
162608695.652174,-37.2000198364258
164130434.782609,-34.1135635375977
165652173.913043,-27.9954967498779
167173913.043478,-35.8995132446289
168695652.173913,-28.2094478607178
170217391.304348,-32.2825927734375
171739130.434783,-26.8972415924072
173260869.565217,-35.3591613769531
174782608.695652,-27.9191799163818
176304347.826087,-30.6157779693604
177826086.956522,-28.0985279083252
179347826.086957,-29.925271987915
180869565.217391,-29.2551517486572
182391304.347826,-36.1146621704102
183913043.478261,-31.0256404876709
185434782.608696,-29.5394840240479
186956521.73913,-31.923469543457
188478260.869565,-27.3768978118896
190000000,-28.6790676116943
191521739.130435,-30.8652629852295
193043478.26087,-30.4299068450928
194565217.391304,-27.2620334625244
196086956.521739,-37.2163314819336
197608695.652174,-28.6529064178467
199130434.782609,-33.7531433105469
200652173.913043,-34.9729919433594
202173913.043478,-37.2664413452148
203695652.173913,-29.5109233856201
205217391.304348,-31.8251113891602
206739130.434783,-32.3168716430664
208260869.565217,-30.0319499969482
209782608.695652,-35.2140045166016
211304347.826087,-28.961275100708
212826086.956522,-27.5339832305908
214347826.086957,-35.9352874755859
215869565.217391,-29.0022678375244
217391304.347826,-32.1703109741211
218913043.478261,-27.5503063201904
220434782.608696,-30.0645160675049
221956521.73913,-29.1118640899658
223478260.869565,-33.8243103027344
225000000,-31.029691696167
226521739.130435,-25.5856876373291
228043478.26087,-27.2082424163818
229565217.391304,-34.5768966674805
231086956.521739,-30.4388294219971
232608695.652174,-28.4736461639404
234130434.782609,-27.627893447876
235652173.913043,-28.9613056182861
237173913.043478,-29.6238384246826
238695652.173913,-31.3980693817139
240217391.304348,-32.1147537231445
241739130.434783,-37.2709579467773
243260869.565217,-42.8226852416992
244782608.695652,-33.751579284668
246304347.826087,-33.4671630859375
247826086.956522,-36.9304885864258
249347826.086957,-32.4252243041992
250869565.217391,-27.6831951141357
252391304.347826,-30.1802654266357
253913043.478261,-29.9874095916748
255434782.608696,-25.2810077667236
256956521.73913,-30.688570022583
258478260.869565,-30.4841594696045
260000000,-28.6806812286377
261521739.130435,-27.6303157806396
263043478.26087,-33.8745193481445
264565217.391304,-29.7530841827393
266086956.521739,-31.9863204956055
267608695.652174,-25.1408863067627
269130434.782609,-34.1375122070313
270652173.913044,-34.2048416137695
272173913.043478,-30.2713985443115
273695652.173913,-35.5726547241211
275217391.304348,-27.5272884368896
276739130.434783,-32.8518218994141
278260869.565217,-30.2891674041748
279782608.695652,-34.4656524658203
281304347.826087,-33.2933959960938
282826086.956522,-30.4611530303955
284347826.086957,-31.6663188934326
285869565.217391,-28.87473487854
287391304.347826,-27.19162940979
288913043.478261,-30.8855266571045
290434782.608696,-23.4593753814697
291956521.73913,-40.6227722167969
293478260.869565,-28.241792678833
295000000,-28.8705654144287
296521739.130435,-31.8935241699219
298043478.26087,-29.3652896881104
299565217.391304,-31.1494808197021
301086956.521739,-31.7546463012695
302608695.652174,-24.9936046600342
304130434.782609,-34.0386276245117
305652173.913044,-40.396858215332
307173913.043478,-30.6917705535889
308695652.173913,-29.669713973999
310217391.304348,-32.3685760498047
311739130.434783,-29.7003154754639
313260869.565217,-30.9745922088623
314782608.695652,-39.0461959838867
316304347.826087,-34.4415435791016
317826086.956522,-40.6552047729492
319347826.086957,-32.1996002197266
320869565.217391,-30.0776271820068
322391304.347826,-35.4195251464844
323913043.478261,-26.5166645050049
325434782.608696,-29.7709293365479
326956521.73913,-26.6630077362061
328478260.869565,-29.3910083770752
330000000,-32.717529296875
331521739.130435,-30.4185047149658
333043478.26087,-30.9832744598389
334565217.391304,-35.0098571777344
