GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),0.034735,AUTO
Start Frequency,50000000
Stop Frequency,750000000
Frequency Offset,0
Average Type,Log Pwr
RBW,3000000,AUTO
VBW,3000000,AUTO
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,24
Attenuation,45
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,6E-06,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,PosPeak
Trace Data
50000000,-26.5705890655518
51521739.1304348,-31.5462207794189
53043478.2608696,-32.0043907165527
54565217.3913043,-29.5596904754639
56086956.5217391,-30.2315521240234
57608695.6521739,-35.7209968566895
59130434.7826087,-34.6562843322754
60652173.9130435,-31.1991519927979
62173913.0434783,-29.8697376251221
63695652.173913,-34.6181221008301
65217391.3043478,-30.6018009185791
66739130.4347826,-32.5429191589355
68260869.5652174,-38.6294097900391
69782608.6956522,-27.8336486816406
71304347.826087,-32.2985572814941
72826086.9565218,-33.7832908630371
74347826.0869565,-29.9220561981201
75869565.2173913,-33.5190391540527
77391304.3478261,-37.1020698547363
78913043.4782609,-33.4349174499512
80434782.6086957,-30.1877822875977
81956521.7391304,-30.4203262329102
83478260.8695652,-35.2115516662598
85000000,-30.2306079864502
86521739.1304348,-36.4235191345215
88043478.2608696,-28.0222797393799
89565217.3913043,-28.666654586792
91086956.5217391,-32.7670936584473
92608695.6521739,-29.8083724975586
94130434.7826087,-31.5647163391113
95652173.9130435,-11.5161762237549
97173913.0434783,13.5561962127686
98695652.173913,20.4765720367432
100217391.304348,21.6659317016602
101739130.434783,18.521879196167
103260869.565217,6.07260131835938
104782608.695652,-21.981237411499
106304347.826087,-34.6676177978516
107826086.956522,-31.1215438842773
109347826.086957,-30.8814334869385
110869565.217391,-27.36936378479
112391304.347826,-27.7871799468994
113913043.478261,-35.7886009216309
115434782.608696,-34.4539680480957
116956521.73913,-28.8931064605713
118478260.869565,-27.457088470459
120000000,-31.0197868347168
121521739.130435,-32.8478965759277
123043478.26087,-32.3910713195801
124565217.391304,-38.2646980285645
126086956.521739,-27.5164813995361
127608695.652174,-31.6265048980713
129130434.782609,-33.5582084655762
130652173.913043,-40.245777130127
132173913.043478,-33.7215995788574
133695652.173913,-30.4126758575439
135217391.304348,-33.3836936950684
136739130.434783,-34.4827079772949
138260869.565217,-28.6433982849121
139782608.695652,-28.0779113769531
141304347.826087,-31.2183952331543
142826086.956522,-27.7563285827637
144347826.086957,-33.0652389526367
145869565.217391,-30.1384887695313
147391304.347826,-38.5110206604004
148913043.478261,-32.1748390197754
150434782.608696,-33.8272972106934
151956521.73913,-29.1959648132324
153478260.869565,-30.6028060913086
155000000,-32.1239585876465
156521739.130435,-33.0837020874023
158043478.26087,-30.079517364502
159565217.391304,-37.9721412658691
161086956.521739,-28.0008316040039
162608695.652174,-32.794017791748
164130434.782609,-29.8587455749512
165652173.913043,-35.8456077575684
167173913.043478,-37.9085426330566
168695652.173913,-31.3832015991211
170217391.304348,-43.5384864807129
171739130.434783,-28.507438659668
173260869.565217,-26.2116622924805
174782608.695652,-29.0825500488281
176304347.826087,-35.2670936584473
177826086.956522,-33.7304573059082
179347826.086957,-33.919734954834
180869565.217391,-26.2040061950684
182391304.347826,-26.65234375
183913043.478261,-36.0353202819824
185434782.608696,-32.0887718200684
186956521.73913,-34.2036247253418
188478260.869565,-31.8441200256348
190000000,-25.2730865478516
191521739.130435,-29.9729766845703
193043478.26087,-28.4756469726563
194565217.391304,-34.2830009460449
196086956.521739,-24.1695442199707
197608695.652174,-28.1117286682129
199130434.782609,-21.4366188049316
200652173.913043,-21.1959533691406
202173913.043478,-25.6148490905762
203695652.173913,-34.4256629943848
205217391.304348,-40.1785926818848
206739130.434783,-41.3977928161621
208260869.565217,-25.3785934448242
209782608.695652,-28.0099754333496
211304347.826087,-44.2821998596191
212826086.956522,-26.0214958190918
214347826.086957,-33.974666595459
215869565.217391,-42.3756141662598
217391304.347826,-28.7263946533203
218913043.478261,-29.0706787109375
220434782.608696,-32.732982635498
221956521.73913,-23.0347747802734
223478260.869565,-28.6367454528809
225000000,-36.5153770446777
226521739.130435,-24.7418670654297
228043478.26087,-31.9007377624512
229565217.391304,-33.6373176574707
231086956.521739,-30.3722076416016
232608695.652174,-29.2443885803223
234130434.782609,-32.8693733215332
235652173.913043,-24.7195739746094
237173913.043478,-35.1737480163574
238695652.173913,-28.6803436279297
240217391.304348,-42.5737571716309
241739130.434783,-30.1665306091309
243260869.565217,-30.640308380127
244782608.695652,-29.5194358825684
246304347.826087,-34.565242767334
247826086.956522,-33.8116645812988
249347826.086957,-28.3560104370117
250869565.217391,-29.3167877197266
252391304.347826,-29.3092346191406
253913043.478261,-34.2968559265137
255434782.608696,-30.8309211730957
256956521.73913,-34.9928016662598
258478260.869565,-29.5389633178711
260000000,-44.1968879699707
261521739.130435,-29.2213325500488
263043478.26087,-30.4436683654785
264565217.391304,-25.9503440856934
266086956.521739,-31.5779151916504
267608695.652174,-29.0646095275879
269130434.782609,-33.3556098937988
270652173.913044,-26.4002952575684
272173913.043478,-30.1570510864258
273695652.173913,-31.9402275085449
275217391.304348,-35.6766395568848
276739130.434783,-29.1457786560059
278260869.565217,-35.843448638916
279782608.695652,-34.1684150695801
281304347.826087,-32.6981925964355
282826086.956522,-32.626766204834
284347826.086957,-30.789867401123
285869565.217391,-32.6116600036621
287391304.347826,-32.7971305847168
288913043.478261,-32.6604194641113
290434782.608696,-27.963191986084
291956521.73913,-36.3452186584473
293478260.869565,-28.3690643310547
295000000,-26.0962295532227
296521739.130435,-14.950044631958
298043478.26087,-1.24239206314087
299565217.391304,2.21369695663452
301086956.521739,0.874654352664948
302608695.652174,-6.59267616271973
304130434.782609,-23.8011245727539
305652173.913044,-31.4939308166504
307173913.043478,-39.7181968688965
308695652.173913,-32.9555931091309
310217391.304348,-26.4861068725586
311739130.434783,-32.232349395752
313260869.565217,-28.4291343688965
314782608.695652,-28.1464424133301
316304347.826087,-29.611026763916
317826086.956522,-27.827205657959
319347826.086957,-29.3251686096191
320869565.217391,-28.5933685302734
322391304.347826,-32.9549293518066
323913043.478261,-32.6158103942871
325434782.608696,-31.0083808898926
326956521.73913,-29.024829864502
328478260.869565,-35.5941352844238
330000000,-30.1603317260742
331521739.130435,-29.4442901611328
333043478.26087,-28.4921493530273
334565217.391304,-31.0173377990723
336086956.521739,-28.7665977478027
