Machine Module,N9322C,CN0743A505
MCU Version,A.05.14
DSP Version,A.05.02.00 SA
FPGA Version,A.02.80
03:49:53 11.18.2023
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),0.253640,AUTO
Start Frequency,+9.961956523e+08
Stop Frequency,+1.003804348e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+3.000000000e+02,MAN
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,+1.000000000e+01
Attenuation,30,AUTO
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,1.001505 GHz,-46.14 dBm
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Pos Peak,
Trace Data
+9.961956523e+08,-7.732032013e+01,
+9.962121929e+08,-7.761803436e+01,
+9.962287335e+08,-7.570642090e+01,
+9.962452742e+08,-7.593534088e+01,
+9.962618148e+08,-7.564887238e+01,
+9.962783555e+08,-7.650067902e+01,
+9.962948961e+08,-7.487931061e+01,
+9.963114367e+08,-7.856566620e+01,
+9.963279774e+08,-7.709223938e+01,
+9.963445180e+08,-7.447026825e+01,
+9.963610587e+08,-7.364644623e+01,
+9.963775993e+08,-7.337789154e+01,
+9.963941400e+08,-7.682050323e+01,
+9.964106806e+08,-7.696598053e+01,
+9.964272212e+08,-7.615143585e+01,
+9.964437619e+08,-7.622640228e+01,
+9.964603025e+08,-7.664974213e+01,
+9.964768432e+08,-7.605290222e+01,
+9.964933838e+08,-7.718239594e+01,
+9.965099245e+08,-7.524840546e+01,
+9.965264651e+08,-7.805093384e+01,
+9.965430057e+08,-7.621459961e+01,
+9.965595464e+08,-7.375865173e+01,
+9.965760870e+08,-7.712859344e+01,
+9.965926277e+08,-7.515743256e+01,
+9.966091683e+08,-7.570064545e+01,
+9.966257090e+08,-7.645484161e+01,
+9.966422496e+08,-7.439187622e+01,
+9.966587902e+08,-7.766213226e+01,
+9.966753309e+08,-7.535209656e+01,
+9.966918715e+08,-7.755246735e+01,
+9.967084122e+08,-7.604850769e+01,
+9.967249528e+08,-7.643435669e+01,
+9.967414934e+08,-7.377098846e+01,
+9.967580341e+08,-7.629670715e+01,
+9.967745747e+08,-7.406245422e+01,
+9.967911154e+08,-7.673413849e+01,
+9.968076560e+08,-7.807891846e+01,
+9.968241967e+08,-7.308703613e+01,
+9.968407373e+08,-7.800785065e+01,
+9.968572779e+08,-7.582160187e+01,
+9.968738186e+08,-7.743957520e+01,
+9.968903592e+08,-7.715968323e+01,
+9.969068999e+08,-7.588724518e+01,
+9.969234405e+08,-7.673614502e+01,
+9.969399812e+08,-7.690603638e+01,
+9.969565218e+08,-7.488983917e+01,
+9.969730624e+08,-7.415057373e+01,
+9.969896031e+08,-7.487797546e+01,
+9.970061437e+08,-6.698145294e+01,
+9.970226844e+08,-7.602717590e+01,
+9.970392250e+08,-7.599261475e+01,
+9.970557657e+08,-7.693257141e+01,
+9.970723063e+08,-7.618804169e+01,
+9.970888469e+08,-7.511654663e+01,
+9.971053876e+08,-7.695017242e+01,
+9.971219282e+08,-7.699305725e+01,
+9.971384689e+08,-7.570819092e+01,
+9.971550095e+08,-7.675757599e+01,
+9.971715502e+08,-7.569519806e+01,
+9.971880908e+08,-7.697711945e+01,
+9.972046314e+08,-7.419081116e+01,
+9.972211721e+08,-7.605258942e+01,
+9.972377127e+08,-7.335173798e+01,
+9.972542534e+08,-7.681748199e+01,
+9.972707940e+08,-7.663301849e+01,
+9.972873346e+08,-7.569638062e+01,
+9.973038753e+08,-7.486946106e+01,
+9.973204159e+08,-7.505371857e+01,
+9.973369566e+08,-7.291083527e+01,
+9.973534972e+08,-7.637169647e+01,
+9.973700379e+08,-7.549693298e+01,
+9.973865785e+08,-7.455261230e+01,
+9.974031191e+08,-7.732833099e+01,
+9.974196598e+08,-7.831020355e+01,
+9.974362004e+08,-7.635163116e+01,
+9.974527411e+08,-7.660513306e+01,
+9.974692817e+08,-7.578386688e+01,
+9.974858224e+08,-7.677809906e+01,
+9.975023630e+08,-7.584361267e+01,
+9.975189036e+08,-7.479761505e+01,
+9.975354443e+08,-7.597019196e+01,
+9.975519849e+08,-7.484117889e+01,
+9.975685256e+08,-7.771469879e+01,
+9.975850662e+08,-7.630135345e+01,
+9.976016069e+08,-7.292726898e+01,
+9.976181475e+08,-7.506021881e+01,
+9.976346881e+08,-7.520954132e+01,
+9.976512288e+08,-7.259252167e+01,
+9.976677694e+08,-7.580081940e+01,
+9.976843101e+08,-7.459937286e+01,
+9.977008507e+08,-7.783396149e+01,
+9.977173914e+08,-7.630739594e+01,
+9.977339320e+08,-7.587157440e+01,
+9.977504726e+08,-7.490738678e+01,
+9.977670133e+08,-7.712488556e+01,
+9.977835539e+08,-7.842252350e+01,
+9.978000946e+08,-7.718236542e+01,
+9.978166352e+08,-7.638819122e+01,
+9.978331758e+08,-7.437041473e+01,
+9.978497165e+08,-7.607784271e+01,
+9.978662571e+08,-7.412557220e+01,
+9.978827978e+08,-7.872057343e+01,
+9.978993384e+08,-7.667763519e+01,
+9.979158791e+08,-7.721727753e+01,
+9.979324197e+08,-7.640749359e+01,
+9.979489603e+08,-7.421056366e+01,
+9.979655010e+08,-7.324274445e+01,
+9.979820416e+08,-7.779183197e+01,
+9.979985823e+08,-7.669814301e+01,
+9.980151229e+08,-7.698981476e+01,
+9.980316636e+08,-7.637424469e+01,
+9.980482042e+08,-7.529047394e+01,
+9.980647448e+08,-7.447286224e+01,
+9.980812855e+08,-7.796724701e+01,
+9.980978261e+08,-7.491469574e+01,
+9.981143668e+08,-7.482027435e+01,
+9.981309074e+08,-7.513219452e+01,
+9.981474481e+08,-7.899292755e+01,
+9.981639887e+08,-7.532271576e+01,
+9.981805293e+08,-7.665776825e+01,
+9.981970700e+08,-7.664394379e+01,
+9.982136106e+08,-7.433499908e+01,
+9.982301513e+08,-7.640876007e+01,
+9.982466919e+08,-7.424723053e+01,
+9.982632325e+08,-7.659513092e+01,
+9.982797732e+08,-7.520417023e+01,
+9.982963138e+08,-7.376871490e+01,
+9.983128545e+08,-7.839229584e+01,
+9.983293951e+08,-7.531546783e+01,
+9.983459358e+08,-7.673175812e+01,
+9.983624764e+08,-7.620981598e+01,
+9.983790170e+08,-7.577231598e+01,
+9.983955577e+08,-7.563726044e+01,
+9.984120983e+08,-7.609041595e+01,
+9.984286390e+08,-7.828038788e+01,
+9.984451796e+08,-7.440958405e+01,
+9.984617203e+08,-7.856186676e+01,
+9.984782609e+08,-7.480046844e+01,
+9.984948015e+08,-4.604173660e+01,
+9.985113422e+08,-7.306517792e+01,
+9.985278828e+08,-7.463768768e+01,
+9.985444235e+08,-7.520169830e+01,
+9.985609641e+08,-7.622620392e+01,
+9.985775048e+08,-7.484122467e+01,
+9.985940454e+08,-7.414643097e+01,
+9.986105860e+08,-7.501644135e+01,
+9.986271267e+08,-7.635053253e+01,
+9.986436673e+08,-7.397086334e+01,
+9.986602080e+08,-7.754990387e+01,
+9.986767486e+08,-7.034566498e+01,
+9.986932893e+08,-7.781417084e+01,
+9.987098299e+08,-7.695856476e+01,
