Machine Module,N9322C,CN0743A505
MCU Version,A.05.14
DSP Version,A.05.02.00 SA
FPGA Version,A.02.80
06:40:04 11.18.2023
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),1.234192,AUTO
Start Frequency,+9.961956523e+08
Stop Frequency,+1.003804348e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+02,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,+1.900000000e+01
Attenuation,40,AUTO
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,1.000000 GHz,15.81 dBm
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Pos Peak,
Trace Data
+9.961956523e+08,-6.908143616e+01,
+9.962121929e+08,-6.920237732e+01,
+9.962287335e+08,-6.775225830e+01,
+9.962452742e+08,-6.792405701e+01,
+9.962618148e+08,-6.733570099e+01,
+9.962783555e+08,-6.945695496e+01,
+9.962948961e+08,-6.771413422e+01,
+9.963114367e+08,-6.787918854e+01,
+9.963279774e+08,-6.804409790e+01,
+9.963445180e+08,-6.890882874e+01,
+9.963610587e+08,-6.492533875e+01,
+9.963775993e+08,-6.938577271e+01,
+9.963941400e+08,-6.792903900e+01,
+9.964106806e+08,-6.725022125e+01,
+9.964272212e+08,-6.867890167e+01,
+9.964437619e+08,-6.888040924e+01,
+9.964603025e+08,-6.830543518e+01,
+9.964768432e+08,-6.793206024e+01,
+9.964933838e+08,-6.982372284e+01,
+9.965099245e+08,-7.041066742e+01,
+9.965264651e+08,-6.892687988e+01,
+9.965430057e+08,-6.963842773e+01,
+9.965595464e+08,-6.859561157e+01,
+9.965760870e+08,-6.804274750e+01,
+9.965926277e+08,-6.706119537e+01,
+9.966091683e+08,-6.775223541e+01,
+9.966257090e+08,-6.861897278e+01,
+9.966422496e+08,-6.729785156e+01,
+9.966587902e+08,-6.868411255e+01,
+9.966753309e+08,-6.773515320e+01,
+9.966918715e+08,-6.745466614e+01,
+9.967084122e+08,-6.916317749e+01,
+9.967249528e+08,-6.838442230e+01,
+9.967414934e+08,-7.003746033e+01,
+9.967580341e+08,-6.784453583e+01,
+9.967745747e+08,-6.916351318e+01,
+9.967911154e+08,-6.821482086e+01,
+9.968076560e+08,-6.647961426e+01,
+9.968241967e+08,-6.829982758e+01,
+9.968407373e+08,-6.780599213e+01,
+9.968572779e+08,-6.845908356e+01,
+9.968738186e+08,-6.901422119e+01,
+9.968903592e+08,-6.591333771e+01,
+9.969068999e+08,-6.831790161e+01,
+9.969234405e+08,-6.685520935e+01,
+9.969399812e+08,-6.645362091e+01,
+9.969565218e+08,-6.699903107e+01,
+9.969730624e+08,-6.816238403e+01,
+9.969896031e+08,-6.746785736e+01,
+9.970061437e+08,-5.368288422e+01,
+9.970226844e+08,-6.898821259e+01,
+9.970392250e+08,-6.626641083e+01,
+9.970557657e+08,-6.683234406e+01,
+9.970723063e+08,-6.847856903e+01,
+9.970888469e+08,-6.765906525e+01,
+9.971053876e+08,-6.919909668e+01,
+9.971219282e+08,-6.584751892e+01,
+9.971384689e+08,-6.589619446e+01,
+9.971550095e+08,-6.595346069e+01,
+9.971715502e+08,-6.873654175e+01,
+9.971880908e+08,-6.810820770e+01,
+9.972046314e+08,-6.780313873e+01,
+9.972211721e+08,-6.853269196e+01,
+9.972377127e+08,-6.869075012e+01,
+9.972542534e+08,-6.771239471e+01,
+9.972707940e+08,-6.921974182e+01,
+9.972873346e+08,-6.882672882e+01,
+9.973038753e+08,-6.754766083e+01,
+9.973204159e+08,-6.761880493e+01,
+9.973369566e+08,-6.796469116e+01,
+9.973534972e+08,-6.852069092e+01,
+9.973700379e+08,-6.726057434e+01,
+9.973865785e+08,-6.775886536e+01,
+9.974031191e+08,-6.843249512e+01,
+9.974196598e+08,-6.815209198e+01,
+9.974362004e+08,-7.057919312e+01,
+9.974527411e+08,-7.079721069e+01,
+9.974692817e+08,-6.658222961e+01,
+9.974858224e+08,-6.776084900e+01,
+9.975023630e+08,-6.550466919e+01,
+9.975189036e+08,-6.643919373e+01,
+9.975354443e+08,-6.802322388e+01,
+9.975519849e+08,-6.655320740e+01,
+9.975685256e+08,-6.961685181e+01,
+9.975850662e+08,-6.900887299e+01,
+9.976016069e+08,-6.866027069e+01,
+9.976181475e+08,-6.790486908e+01,
+9.976346881e+08,-6.628109741e+01,
+9.976512288e+08,-6.735403442e+01,
+9.976677694e+08,-6.879373169e+01,
+9.976843101e+08,-7.135981750e+01,
+9.977008507e+08,-6.895474243e+01,
+9.977173914e+08,-6.713589478e+01,
+9.977339320e+08,-6.834974670e+01,
+9.977504726e+08,-6.942913818e+01,
+9.977670133e+08,-6.931137848e+01,
+9.977835539e+08,-6.791838074e+01,
+9.978000946e+08,-6.888304138e+01,
+9.978166352e+08,-7.014181519e+01,
+9.978331758e+08,-6.797319031e+01,
+9.978497165e+08,-6.905332947e+01,
+9.978662571e+08,-6.621389771e+01,
+9.978827978e+08,-6.686366272e+01,
+9.978993384e+08,-6.790270996e+01,
+9.979158791e+08,-6.594694519e+01,
+9.979324197e+08,-6.901406860e+01,
+9.979489603e+08,-6.890220642e+01,
+9.979655010e+08,-6.769093323e+01,
+9.979820416e+08,-6.831977844e+01,
+9.979985823e+08,-6.907305908e+01,
+9.980151229e+08,-6.615890503e+01,
+9.980316636e+08,-6.585932922e+01,
+9.980482042e+08,-6.879004669e+01,
+9.980647448e+08,-6.687037659e+01,
+9.980812855e+08,-6.715571594e+01,
+9.980978261e+08,-6.687153625e+01,
+9.981143668e+08,-6.870999146e+01,
+9.981309074e+08,-6.831913757e+01,
+9.981474481e+08,-6.700765991e+01,
+9.981639887e+08,-6.869569397e+01,
+9.981805293e+08,-6.986341858e+01,
+9.981970700e+08,-6.771349335e+01,
+9.982136106e+08,-6.813864136e+01,
+9.982301513e+08,-6.821440887e+01,
+9.982466919e+08,-6.727884674e+01,
+9.982632325e+08,-6.746769714e+01,
+9.982797732e+08,-6.686613464e+01,
+9.982963138e+08,-6.988026428e+01,
+9.983128545e+08,-6.756362915e+01,
+9.983293951e+08,-6.629779816e+01,
+9.983459358e+08,-6.834629059e+01,
+9.983624764e+08,-7.021188354e+01,
+9.983790170e+08,-6.695172119e+01,
+9.983955577e+08,-6.775109100e+01,
+9.984120983e+08,-6.634484863e+01,
+9.984286390e+08,-6.513695526e+01,
+9.984451796e+08,-6.790322876e+01,
+9.984617203e+08,-6.634777832e+01,
+9.984782609e+08,-6.790953064e+01,
+9.984948015e+08,-5.490213394e+01,
+9.985113422e+08,-6.843093109e+01,
+9.985278828e+08,-7.093006897e+01,
+9.985444235e+08,-6.810317230e+01,
+9.985609641e+08,-6.752646637e+01,
+9.985775048e+08,-6.795391083e+01,
+9.985940454e+08,-6.959503174e+01,
+9.986105860e+08,-6.830395508e+01,
+9.986271267e+08,-6.860923767e+01,
+9.986436673e+08,-6.860002899e+01,
+9.986602080e+08,-6.705451965e+01,
+9.986767486e+08,-6.877134705e+01,
+9.986932893e+08,-6.819826508e+01,
+9.987098299e+08,-6.854077911e+01,
