Machine Module,N9322C,CN0743A505
MCU Version,A.05.14
DSP Version,A.05.02.00 SA
FPGA Version,A.02.80
06:41:56 11.18.2023
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),1.234192,AUTO
Start Frequency,+9.961956523e+08
Stop Frequency,+1.003804348e+09
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+02,MAN
VBW,+3.000000000e+02,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,+1.900000000e+01
Attenuation,40,AUTO
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,1.000000 GHz,15.83 dBm
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Pos Peak,
Trace Data
+9.961956523e+08,-6.885667419e+01,
+9.962121929e+08,-6.559504700e+01,
+9.962287335e+08,-6.993730164e+01,
+9.962452742e+08,-6.788568115e+01,
+9.962618148e+08,-6.809300232e+01,
+9.962783555e+08,-7.030574799e+01,
+9.962948961e+08,-6.830295563e+01,
+9.963114367e+08,-6.852944183e+01,
+9.963279774e+08,-6.798226929e+01,
+9.963445180e+08,-6.659217834e+01,
+9.963610587e+08,-6.896104431e+01,
+9.963775993e+08,-6.894175720e+01,
+9.963941400e+08,-6.818338776e+01,
+9.964106806e+08,-6.888984680e+01,
+9.964272212e+08,-6.695722961e+01,
+9.964437619e+08,-6.863260651e+01,
+9.964603025e+08,-6.730927277e+01,
+9.964768432e+08,-6.847811127e+01,
+9.964933838e+08,-6.730825806e+01,
+9.965099245e+08,-6.652635193e+01,
+9.965264651e+08,-6.658850098e+01,
+9.965430057e+08,-6.938068390e+01,
+9.965595464e+08,-6.982877350e+01,
+9.965760870e+08,-6.959310913e+01,
+9.965926277e+08,-6.705512238e+01,
+9.966091683e+08,-6.753224182e+01,
+9.966257090e+08,-6.761288452e+01,
+9.966422496e+08,-6.864216614e+01,
+9.966587902e+08,-6.774164581e+01,
+9.966753309e+08,-6.714903259e+01,
+9.966918715e+08,-6.782252502e+01,
+9.967084122e+08,-6.640318298e+01,
+9.967249528e+08,-6.837467957e+01,
+9.967414934e+08,-6.632505798e+01,
+9.967580341e+08,-6.785216522e+01,
+9.967745747e+08,-6.746135712e+01,
+9.967911154e+08,-6.792910004e+01,
+9.968076560e+08,-6.915752411e+01,
+9.968241967e+08,-6.883097076e+01,
+9.968407373e+08,-6.753575897e+01,
+9.968572779e+08,-6.901287079e+01,
+9.968738186e+08,-6.933175659e+01,
+9.968903592e+08,-6.727434540e+01,
+9.969068999e+08,-6.589274597e+01,
+9.969234405e+08,-6.962036133e+01,
+9.969399812e+08,-6.729466248e+01,
+9.969565218e+08,-7.047989655e+01,
+9.969730624e+08,-6.906899261e+01,
+9.969896031e+08,-6.783222961e+01,
+9.970061437e+08,-4.492979431e+01,
+9.970226844e+08,-7.003703308e+01,
+9.970392250e+08,-6.943795013e+01,
+9.970557657e+08,-6.984413147e+01,
+9.970723063e+08,-6.938483429e+01,
+9.970888469e+08,-6.675947571e+01,
+9.971053876e+08,-6.846113586e+01,
+9.971219282e+08,-6.596242523e+01,
+9.971384689e+08,-6.790325928e+01,
+9.971550095e+08,-6.903355408e+01,
+9.971715502e+08,-7.057217407e+01,
+9.971880908e+08,-6.864839172e+01,
+9.972046314e+08,-6.693522644e+01,
+9.972211721e+08,-6.851562500e+01,
+9.972377127e+08,-6.815856934e+01,
+9.972542534e+08,-6.698855591e+01,
+9.972707940e+08,-6.665078735e+01,
+9.972873346e+08,-6.870726776e+01,
+9.973038753e+08,-6.870739746e+01,
+9.973204159e+08,-6.750604248e+01,
+9.973369566e+08,-6.883212280e+01,
+9.973534972e+08,-6.690344238e+01,
+9.973700379e+08,-6.822138977e+01,
+9.973865785e+08,-6.905757141e+01,
+9.974031191e+08,-6.995719147e+01,
+9.974196598e+08,-6.684745026e+01,
+9.974362004e+08,-6.823577881e+01,
+9.974527411e+08,-6.738301086e+01,
+9.974692817e+08,-6.918751526e+01,
+9.974858224e+08,-6.734188843e+01,
+9.975023630e+08,-6.912554932e+01,
+9.975189036e+08,-6.744500732e+01,
+9.975354443e+08,-6.819316101e+01,
+9.975519849e+08,-7.013693237e+01,
+9.975685256e+08,-6.827354431e+01,
+9.975850662e+08,-6.888429260e+01,
+9.976016069e+08,-6.984887695e+01,
+9.976181475e+08,-6.859662628e+01,
+9.976346881e+08,-6.933407593e+01,
+9.976512288e+08,-6.747567749e+01,
+9.976677694e+08,-6.869500732e+01,
+9.976843101e+08,-6.889399719e+01,
+9.977008507e+08,-6.635504150e+01,
+9.977173914e+08,-6.665737915e+01,
+9.977339320e+08,-6.959445190e+01,
+9.977504726e+08,-6.779189301e+01,
+9.977670133e+08,-6.889105988e+01,
+9.977835539e+08,-6.901344299e+01,
+9.978000946e+08,-6.586735535e+01,
+9.978166352e+08,-6.655255127e+01,
+9.978331758e+08,-6.762965393e+01,
+9.978497165e+08,-6.587657166e+01,
+9.978662571e+08,-6.850100708e+01,
+9.978827978e+08,-6.851264954e+01,
+9.978993384e+08,-6.740065002e+01,
+9.979158791e+08,-6.845649719e+01,
+9.979324197e+08,-7.015493774e+01,
+9.979489603e+08,-6.729605103e+01,
+9.979655010e+08,-6.627915955e+01,
+9.979820416e+08,-6.929139709e+01,
+9.979985823e+08,-6.928762817e+01,
+9.980151229e+08,-6.817362976e+01,
+9.980316636e+08,-6.660139465e+01,
+9.980482042e+08,-6.840843964e+01,
+9.980647448e+08,-6.805960846e+01,
+9.980812855e+08,-6.874432373e+01,
+9.980978261e+08,-6.679974365e+01,
+9.981143668e+08,-6.720054626e+01,
+9.981309074e+08,-6.803585815e+01,
+9.981474481e+08,-6.695268250e+01,
+9.981639887e+08,-6.933061218e+01,
+9.981805293e+08,-6.878548431e+01,
+9.981970700e+08,-6.785622406e+01,
+9.982136106e+08,-6.776248932e+01,
+9.982301513e+08,-6.795055389e+01,
+9.982466919e+08,-6.888031769e+01,
+9.982632325e+08,-6.805715942e+01,
+9.982797732e+08,-6.803678131e+01,
+9.982963138e+08,-6.626740265e+01,
+9.983128545e+08,-6.809263611e+01,
+9.983293951e+08,-6.797383881e+01,
+9.983459358e+08,-6.850965881e+01,
+9.983624764e+08,-6.570864105e+01,
+9.983790170e+08,-6.800576782e+01,
+9.983955577e+08,-6.782144165e+01,
+9.984120983e+08,-6.901170349e+01,
+9.984286390e+08,-6.792717743e+01,
+9.984451796e+08,-6.835513306e+01,
+9.984617203e+08,-6.786195374e+01,
+9.984782609e+08,-6.852326965e+01,
+9.984948015e+08,-4.576565170e+01,
+9.985113422e+08,-6.602503967e+01,
+9.985278828e+08,-7.040502930e+01,
+9.985444235e+08,-6.825489044e+01,
+9.985609641e+08,-6.809101868e+01,
+9.985775048e+08,-6.877592468e+01,
+9.985940454e+08,-6.787086487e+01,
+9.986105860e+08,-6.843566895e+01,
+9.986271267e+08,-6.761557007e+01,
+9.986436673e+08,-6.812970734e+01,
+9.986602080e+08,-6.790399933e+01,
+9.986767486e+08,-6.872087860e+01,
+9.986932893e+08,-6.810739899e+01,
+9.987098299e+08,-6.824035645e+01,
