Time / sec	Linewidth / MHz
611.088000	0.051621
612.089000	0.050255
613.091000	0.051390
614.089000	0.048916
615.091000	0.051172
616.092000	0.051195
617.093000	0.049283
618.094000	0.049557
619.093000	0.047814
620.094000	0.045173
621.095000	0.045712
622.094000	0.046185
623.096000	0.046954
624.096000	0.045820
625.094000	0.044608
626.095000	0.044320
627.096000	0.042078
628.096000	0.042068
629.098000	0.041346
630.101000	0.042670
631.103000	0.042811
632.104000	0.044253
633.107000	0.044177
634.108000	0.042260
635.109000	0.042502
636.110000	0.043497
637.111000	0.043127
638.112000	0.043724
639.113000	0.045445
640.115000	0.040841
641.117000	0.040758
642.119000	0.041813
643.120000	0.042445
644.122000	0.042863
645.125000	0.042586
646.126000	0.041757
647.126000	0.041872
648.126000	0.043236
649.127000	0.041890
650.128000	0.041545
651.129000	0.043308
652.130000	0.040679
653.133000	0.040334
654.135000	0.044373
655.137000	0.041164
656.139000	0.043318
657.139000	0.042350
658.140000	0.042501
659.141000	0.041868
660.141000	0.043972
661.141000	0.043442
662.144000	0.042183
663.145000	0.045377
664.145000	0.656871
665.133000	0.041500
666.133000	0.042738
667.135000	0.040901
668.137000	0.041881
669.139000	0.041390
670.142000	0.041390
671.143000	0.041783
672.143000	0.042158
673.145000	0.041274
674.146000	0.040600
675.149000	0.043833
676.149000	0.041408
677.149000	0.041131
678.151000	0.040129
679.152000	0.037919
680.154000	0.039573
681.158000	0.039632
682.160000	0.039602
683.162000	0.038821
684.164000	0.040124
685.167000	0.039660
686.170000	0.038857
687.172000	0.040221
688.176000	0.037984
689.178000	0.041198
690.181000	0.039883
691.184000	0.040558
692.186000	0.040340
693.187000	0.040924
694.191000	0.040800
695.192000	0.039266
696.194000	0.038982
697.196000	0.042155
698.197000	0.041510
699.199000	0.040388
700.201000	0.037756
701.203000	0.040199
702.205000	0.040211
703.207000	0.040520
704.208000	0.040792
705.208000	0.041063
706.210000	0.037892
707.210000	0.037953
708.210000	0.037756
709.212000	0.040304
710.214000	0.038943
711.216000	0.037906
712.219000	0.038120
713.221000	0.039658
714.221000	0.042809
715.222000	0.040271
716.224000	0.039071
717.226000	0.040575
718.228000	0.068273
719.228000	0.109654
720.224000	0.192745
721.212000	0.198136
722.201000	0.219593
723.191000	0.296004
724.181000	0.211230
725.174000	0.289241
726.162000	0.280982
727.151000	0.274152
728.140000	0.194499
729.131000	0.285634
730.122000	0.211207
731.113000	0.254429
732.103000	0.232976
733.093000	0.298065
734.081000	0.260432
735.069000	0.314273
736.059000	0.255347
737.049000	0.270433
738.039000	0.229738
739.029000	0.309769
740.019000	0.272309
741.010000	0.265654
742.002000	0.256828
742.990000	0.207044
743.980000	0.251625
744.969000	0.257058
745.957000	0.282131
746.947000	0.243299
747.938000	0.265028
748.926000	0.243007
749.916000	0.283142
750.905000	0.225075
751.894000	0.224208
752.882000	0.315580
753.869000	0.295513
754.857000	0.192781
755.848000	0.262691
756.835000	0.275892
757.822000	0.265375
758.810000	0.173265
759.801000	0.312614
760.789000	0.220946
761.780000	0.246206
762.771000	0.261713
763.760000	0.219898
764.751000	0.310471
765.739000	0.506251
766.725000	0.450369
767.709000	0.240427
768.698000	0.242989
769.688000	0.462605
770.672000	0.259476
771.661000	0.213663
772.651000	0.292987
773.640000	0.229817
774.630000	0.283131
775.616000	0.231133
776.607000	0.244371
777.595000	0.230506
778.586000	0.227472
779.575000	0.270537
780.562000	0.265776
781.550000	0.224960
782.539000	0.222245
783.531000	0.300228
784.520000	0.200247
785.511000	0.279301
786.499000	0.313415
787.488000	0.362401
788.472000	0.538666
789.455000	0.308775
790.445000	0.328646
791.434000	0.282835
792.423000	0.193063
793.415000	0.296180
794.403000	0.235924
795.392000	0.224003
796.382000	0.283667
797.372000	0.304436
798.361000	0.248056
799.350000	0.245191
800.338000	0.258408
801.328000	0.258535
802.315000	0.216495
803.306000	0.301588
804.294000	0.263240
805.285000	0.247184
806.275000	0.258154
807.265000	0.215922
808.257000	0.207824
809.248000	0.319672
810.238000	0.237245
811.229000	0.235057
812.220000	0.283311
813.208000	0.232653
814.199000	0.233414
815.189000	0.308694
816.176000	0.214121
817.165000	0.258103
818.155000	0.246212
819.146000	0.215660
820.137000	0.269198
821.125000	0.228838
822.117000	0.236119
823.106000	0.300954
824.095000	0.193461
825.085000	0.262790
826.071000	0.262027
827.061000	0.207205
828.051000	0.316888
829.038000	0.201220
830.029000	0.282881
