Time / sec	Linewidth / MHz
66.618000	0.054366
67.618000	0.053219
68.617000	0.050792
69.618000	0.052565
70.619000	0.051670
71.621000	0.051019
72.621000	0.048909
73.621000	0.047837
74.620000	0.046653
75.620000	0.048064
76.619000	0.046248
77.620000	0.046788
78.620000	0.046861
79.620000	0.048592
80.620000	0.047040
81.620000	0.049086
82.620000	0.049846
83.619000	0.049422
84.619000	0.047348
85.618000	0.047640
86.619000	0.049787
87.619000	0.047182
88.619000	0.053196
89.619000	0.047015
90.620000	0.047208
91.620000	0.048151
92.619000	0.046528
93.620000	0.047363
94.621000	0.047917
95.621000	0.047373
96.624000	0.047291
97.624000	0.050158
98.623000	0.050693
99.621000	0.049989
100.619000	0.049895
101.621000	0.053269
102.620000	0.050573
103.621000	0.052027
104.621000	0.049693
105.621000	0.050739
106.620000	0.052044
107.622000	0.047490
108.623000	0.050958
109.624000	0.048899
110.626000	0.047619
111.628000	0.049146
112.626000	0.051937
113.626000	0.051451
114.626000	0.052394
115.627000	0.053460
116.630000	0.051978
117.627000	0.050920
118.628000	0.049463
119.628000	0.050012
120.627000	0.050948
121.625000	0.048190
122.625000	0.048325
123.626000	0.048180
124.625000	0.046664
125.625000	0.044194
126.625000	0.046803
127.626000	0.043881
128.627000	0.046806
129.626000	0.048428
130.628000	0.045697
131.629000	0.046397
132.630000	0.047198
133.629000	0.048811
134.628000	0.048221
135.628000	0.046579
136.628000	0.047953
137.627000	0.048131
138.626000	0.046461
139.625000	0.045724
140.626000	0.044085
141.629000	0.044196
142.629000	0.043472
143.630000	0.047132
144.631000	0.045633
145.631000	0.045671
146.632000	0.045539
147.634000	0.044523
148.634000	0.045938
149.636000	0.044888
150.637000	0.045679
151.638000	0.044253
152.639000	0.043172
153.642000	0.044355
154.644000	0.045084
155.647000	0.045386
156.645000	0.046347
157.643000	0.043228
158.643000	0.045682
159.644000	0.046611
160.644000	0.044480
161.644000	0.045477
162.646000	0.042770
163.646000	0.045969
164.649000	0.044239
165.649000	0.042673
166.649000	0.042830
167.650000	0.042315
168.649000	0.042230
169.650000	0.044107
170.651000	0.043331
171.653000	0.044959
172.654000	0.044432
173.656000	0.048971
174.658000	0.048221
175.658000	0.050582
176.657000	0.048360
177.658000	0.050166
178.658000	0.050376
179.657000	0.051863
180.657000	0.051810
181.658000	0.053141
182.658000	0.054304
183.658000	0.054015
184.659000	0.053576
185.659000	0.053655
186.660000	0.053492
187.671000	0.056801
188.672000	0.052722
189.675000	0.053126
190.676000	0.048745
191.676000	0.048492
192.676000	0.046361
193.676000	0.046170
194.694000	0.044625
195.741000	0.044696
196.740000	0.045935
197.741000	0.043042
198.743000	0.044826
199.745000	0.044777
200.748000	0.041571
201.748000	0.041556
202.750000	0.041745
203.753000	0.042168
204.753000	0.041410
205.756000	0.042552
206.757000	0.043933
207.757000	0.045576
208.757000	0.047004
209.759000	0.049406
210.759000	0.046305
211.761000	0.048865
212.760000	0.052610
213.760000	0.051646
214.760000	0.052193
215.761000	0.052669
216.760000	0.052802
