Time / sec	Linewidth / MHz
6389.206000	0.253066
6390.207000	0.285605
6391.209000	0.235696
6392.209000	0.264005
6393.210000	0.189710
6394.212000	0.208955
6395.215000	0.194132
6396.215000	0.206527
6397.216000	0.206601
6398.217000	0.088715
6399.224000	0.089105
6400.234000	0.135753
6401.238000	0.072272
6402.248000	0.098632
6403.257000	0.070551
6404.269000	0.090978
6405.279000	0.079917
6406.287000	0.087023
6407.296000	0.070510
6408.306000	0.123614
6409.315000	0.159552
6410.319000	0.125827
6411.325000	0.123772
6412.332000	0.093513
6413.338000	0.093841
6414.345000	0.103039
6415.351000	0.103039
6416.359000	0.120001
6417.367000	0.108251
6418.375000	0.095640
6419.383000	0.075115
6420.393000	0.070929
6421.403000	0.070293
6422.413000	0.083190
6423.423000	0.090239
6424.431000	0.088452
6425.439000	0.135133
6426.447000	0.123869
6427.455000	0.171564
6428.460000	0.200346
6429.462000	0.161501
6430.467000	0.250959
6431.467000	0.247830
6432.470000	0.204872
6433.473000	0.147739
6434.479000	0.147933
6435.485000	0.195645
6436.487000	0.120827
6437.493000	0.222684
6438.497000	0.196541
6439.499000	0.204583
6440.502000	0.128005
6441.509000	0.098251
6442.517000	0.106597
6443.527000	0.127003
6444.532000	0.086470
6445.542000	0.145187
6446.547000	0.157079
6447.553000	0.138707
6448.559000	0.154672
6449.566000	0.193941
6450.568000	0.108290
6451.585000	0.147530
6452.588000	0.123544
6453.596000	0.088599
6454.604000	0.093877
6455.612000	0.080445
6456.622000	0.067138
6457.633000	0.126896
6458.641000	0.198264
6459.643000	0.260806
6460.646000	0.307357
6461.647000	0.260825
6462.649000	0.250742
6463.652000	0.320745
6464.651000	0.401137
6465.649000	0.510389
6466.647000	0.578131
6467.642000	0.454151
6468.641000	0.319391
6469.639000	0.336479
6470.637000	0.403073
6471.636000	0.346433
6472.636000	0.242554
6473.635000	0.231313
6474.636000	0.190780
6475.637000	0.235269
6476.637000	0.179902
6477.639000	0.180597
6478.642000	0.126123
6479.650000	0.164283
6480.656000	0.202313
6481.659000	0.268144
6482.659000	0.196116
6483.664000	0.123408
6484.672000	0.193769
6485.677000	0.150698
6486.684000	0.104199
6487.692000	0.090236
6488.699000	0.080034
6489.707000	0.084167
6490.717000	0.124962
6491.726000	0.117969
6492.731000	0.117228
6493.739000	0.190900
6494.743000	0.273916
6495.744000	0.273437
6496.746000	0.252266
6497.746000	0.267297
6498.746000	0.243711
6499.747000	0.250765
6500.750000	0.208054
6501.753000	0.135944
6502.762000	0.096305
6503.769000	0.163931
6504.775000	0.115723
6505.782000	0.128423
6506.789000	0.198805
6507.792000	0.161544
6508.799000	0.241844
6509.802000	0.187621
6510.806000	0.216094
6511.809000	0.258258
6512.809000	0.345114
6513.809000	0.330371
6514.809000	0.332296
6515.807000	0.422410
6516.805000	0.417877
6517.801000	0.455781
6518.799000	0.434871
6519.795000	0.457664
6520.792000	0.505849
6521.792000	0.427709
6522.789000	0.493317
6523.785000	0.447910
6524.781000	0.535327
6525.776000	0.438438
6526.771000	0.499950
6527.766000	0.474085
6528.764000	0.673581
6529.757000	0.652655
6530.752000	0.630004
6531.747000	0.596875
6532.742000	0.500894
6533.737000	0.532061
6534.732000	0.498263
6535.727000	0.514729
6536.723000	0.577153
6537.717000	0.463822
6538.712000	0.525590
6539.708000	0.368923
6540.706000	0.422930
6541.705000	0.419141
6542.703000	0.235353
6543.706000	0.200971
6544.709000	0.199023
6545.714000	0.216296
6546.717000	0.209597
6547.718000	0.256177
6548.719000	0.239387
6549.719000	0.226018
6550.721000	0.198933
6551.725000	0.188617
6552.728000	0.195847
6553.732000	0.265426
6554.734000	0.304790
6555.736000	0.341195
6556.739000	0.289083
6557.737000	0.334285
6558.736000	0.426223
6559.735000	0.406531
6560.734000	0.439289
6561.732000	0.471096
6562.729000	0.471416
6563.725000	0.511336
6564.721000	0.383552
6565.719000	0.481045
6566.717000	0.402271
6567.716000	0.357328
6568.715000	0.297380
6569.714000	0.224843
6570.716000	0.151292
6571.722000	0.121840
6572.728000	0.159305
6573.732000	0.199511
6574.735000	0.157944
6575.741000	0.106897
6576.749000	0.073779
6577.759000	0.086639
6578.768000	0.147772
6579.774000	0.093002
6580.785000	0.105151
6581.793000	0.103952
6582.799000	0.071965
6583.809000	0.108357
6584.815000	0.101742
6585.823000	0.139784
6586.827000	0.110317
6587.835000	0.092282
6588.842000	0.118913
6589.849000	0.103659
6590.857000	0.158888
6591.862000	0.221014
6592.862000	0.161638
6593.868000	0.144861
6594.874000	0.106260
6595.881000	0.169393
6596.887000	0.196616
6597.889000	0.082361
6598.897000	0.081152
6599.904000	0.104315
6600.912000	0.163377
6601.915000	0.103138
6602.924000	0.199691
6603.929000	0.258525
6604.931000	0.229229
6605.935000	0.263215
6606.936000	0.237377
6607.939000	0.166142
6608.944000	0.102597
6609.952000	0.178848
6610.956000	0.165255
6611.962000	0.114087
6612.969000	0.109904
6613.977000	0.151332
6614.983000	0.129154
6615.989000	0.145190
6616.994000	0.152499
6617.998000	0.174794
6619.001000	0.262386
6620.003000	0.251962
6621.003000	0.202768
6622.002000	0.144179
6623.009000	0.109179
6624.016000	0.104325
6625.023000	0.077867
6626.033000	0.103123
6627.042000	0.116771
6628.048000	0.117796
6629.056000	0.187294
6630.059000	0.146538
6631.065000	0.274629
6632.066000	0.256957
6633.067000	0.265091
6634.069000	0.291248
6635.069000	0.247944
6636.069000	0.226472
6637.070000	0.167395
6638.074000	0.172919
6639.077000	0.187329
6640.079000	0.154733
6641.085000	0.139724
6642.088000	0.162639
6643.091000	0.164651
6644.095000	0.217200
6645.097000	0.160975
6646.101000	0.151144
6647.105000	0.131423
6648.109000	0.157089
6649.114000	0.148488
6650.119000	0.172327
6651.124000	0.210208
6652.129000	0.155173
6653.136000	0.214246
6654.138000	0.195385
6655.143000	0.161612
6656.147000	0.166804
6657.153000	0.215932
6658.155000	0.192455
6659.159000	0.154234
6660.163000	0.167207
6661.166000	0.198512
6662.176000	0.266566
6663.175000	0.238406
6664.174000	0.133407
6665.181000	0.181607
6666.185000	0.279055
6667.185000	0.303301
6668.194000	0.284154
6669.194000	0.272160
6670.192000	0.285789
6671.192000	0.250676
6672.193000	0.201651
6673.196000	0.214166
6674.202000	0.126436
6675.208000	0.210434
6676.211000	0.111335
6677.219000	0.080028
6678.229000	0.102206
6679.237000	0.095591
6680.246000	0.081769
6681.254000	0.105904
6682.262000	0.178647
6683.267000	0.192184
6684.268000	0.184401
6685.270000	0.269221
6686.274000	0.291383
6687.273000	0.291366
6688.272000	0.384785
6689.269000	0.325277
6690.269000	0.441345
6691.267000	0.400569
6692.265000	0.407572
6693.261000	0.456833
6694.258000	0.555522
6695.254000	0.629919
6696.248000	0.468254
6697.245000	0.485336
6698.241000	0.594498
6699.236000	0.576135
6700.231000	0.721491
6701.225000	0.092435
6702.233000	0.136300
6703.240000	0.133755
6704.256000	0.086517
6705.266000	0.082832
6706.277000	0.121325
6707.283000	0.118429
6708.290000	0.132881
6709.296000	0.101160
6710.306000	0.126724
6711.314000	0.089440
6712.321000	0.101306
6713.329000	0.092462
6714.336000	0.190135
6715.339000	0.190628
6716.343000	0.202423
6717.346000	0.204675
6718.349000	0.218674
6719.350000	0.169027
6720.356000	0.229708
6721.358000	0.161147
6722.361000	0.178721
6723.365000	0.178753
6724.367000	0.186150
6725.370000	0.182722
6726.373000	0.190508
6727.377000	0.149734
6728.381000	0.161336
6729.386000	0.164671
6730.389000	0.189397
6731.393000	0.173126
6732.397000	0.191763
6733.399000	0.171496
6734.403000	0.164909
6735.408000	0.192628
6736.410000	0.163842
6737.415000	0.195042
6738.417000	0.172783
6739.422000	0.158990
6740.426000	0.170902
6741.429000	0.159905
6742.433000	0.146305
6743.438000	0.155867
6744.444000	0.189323
6745.446000	0.154182
6746.449000	0.170083
6747.451000	0.171976
6748.455000	0.124794
6749.458000	0.164669
6750.463000	0.190210
6751.466000	0.154104
6752.472000	0.181219
6753.476000	0.158672
6754.483000	0.175589
6755.487000	0.163602
6756.493000	0.150267
6757.498000	0.141215
6758.504000	0.150587
6759.507000	0.140489
6760.512000	0.145024
6761.516000	0.150555
6762.522000	0.162267
6763.525000	0.142444
6764.529000	0.144162
6765.534000	0.135498
6766.539000	0.199837
6767.543000	0.147389
6768.549000	0.134963
6769.555000	0.129733
6770.559000	0.109043
6771.566000	0.145477
6772.571000	0.124363
6773.578000	0.111592
6774.585000	0.136630
6775.589000	0.102031
6776.597000	0.148217
6777.602000	0.116801
6778.608000	0.127574
6779.614000	0.111233
6780.623000	0.107089
6781.632000	0.102762
6782.639000	0.099913
6783.645000	0.150208
6784.651000	0.112491
6785.658000	0.117374
6786.665000	0.103274
6787.671000	0.089149
6788.681000	0.100334
6789.688000	0.101147
6790.695000	0.120379
6791.699000	0.109235
6792.708000	0.105776
6793.717000	0.112613
6794.725000	0.091204
6795.733000	0.083543
6796.740000	0.101359
6797.749000	0.115923
